,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,5,5,6,5,6,6,2,6,4.75,0.841,0.0164835,4.75,0.40149999999999997,1.198,1.0395,104.84100000000001
9,1,1,1,1,1,1,1,1,1.2475,0.5680000000000001,0.3165,1.2475,0.0999,4.8,3.1500000000000004,2012.1
8,1,1,0,1,0,0,1,0,5.75,0.9775,0.05,5.75,0.1335,1.6,5.25,317.70000000000005
7,0,0,0,0,0,0,1,0,1.75,0.6134999999999999,0.08335000000000001,1.75,0.16699999999999998,2.0,7.35,529.5
6,0,0,0,0,0,0,1,0,2.25,0.659,0.1165,2.25,0.2005,2.4000000000000004,9.45,741.3
5,0,0,0,0,0,0,1,0,2.75,0.7045,0.15000000000000002,2.75,0.23399999999999999,2.8,19.95,953.1
4,0,0,0,0,0,0,0,0,3.25,0.75,0.1835,3.25,0.26749999999999996,3.2,11.55,1164.9
3,0,0,0,0,0,0,0,0,3.75,0.7955,0.21650000000000003,3.75,0.301,3.5999999999999996,13.649999999999999,1376.6999999999998
2,0,0,0,0,0,0,0,0,4.25,0.8865000000000001,0.25,4.25,0.3345,4.0,15.75,1588.5
1,0,0,0,0,0,0,0,0,5.25,0.9319999999999999,0.2835,5.25,0.368,4.4,17.85,1800.3000000000002
