segment;change_rate
1;0.3333333333333333
2;1.0
3;0.5
4;0.3333333333333333
5;0.3333333333333333
6;0.5
7;0.6
8;1.0
9;1.0
10;0.6666666666666666
11;0.5
12;0.7142857142857143
13;1.0
14;0.4
15;0.6
16;1.0
17;0.5
18;0.2
19;1.0
20;0.6666666666666666
21;0.6666666666666666
22;0.3333333333333333
23;0.6666666666666666
24;0.5
25;0.5
26;0.5
27;0.6666666666666666
28;0.8
29;0.8333333333333334
30;0.8
31;0.5
32;1.0
33;1.0
34;0.25
35;0.5
36;0.5
37;0.5
38;0.5
39;0.5
40;0.6666666666666666
41;0.75
42;0.5
43;0.3333333333333333
44;0.0
45;1.0
46;0.3333333333333333
47;1.0
48;0.8
49;0.8
50;0.75
51;0.5
52;0.5
53;0.75
54;0.8571428571428571
55;0.3333333333333333
56;0.0
57;0.3333333333333333
58;0.6666666666666666
59;0.5
60;0.6666666666666666
61;0.3333333333333333
62;0.3333333333333333
63;0.3333333333333333
64;0.3333333333333333
65;0.3333333333333333
66;0.5
67;0.25
68;0.5
69;1.0
70;0.3333333333333333
71;0.5
72;0.5
73;0.3333333333333333
74;1.0
75;0.8333333333333334
76;0.3333333333333333
