name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
JOHANN VON SCHÖNFELD,0.08927723452274756,36,0.7236842105263158,0.7236842105263158,61,0.33698860918466,1.3818181818181818,1.3818181818181818,7,58,972,108,5263,3.0,3.0,3.0,3.0,2.0,3.0,5.0,8.0,3.75,0.23857837885513192,3.0,6.0,3.0,6.0,4.5,3.0
ZENGER,0.01663800758438822,18,0.5729166666666666,0.5729166666666666,30,0.18241834772794727,1.7454545454545456,1.7454545454545456,4,21,290,45,1560,12.0,13.0,11.0,9.0,10.0,9.0,16.0,23.0,12.875,0.5879652413195868,13.0,16.0,11.0,19.0,15.0,16.0
GERTRUD,0.007490196381370224,14,0.5555555555555556,0.5555555555555556,15,0.06542998981579232,1.7999999999999998,1.7999999999999998,2,35,1188,165,6187,17.0,18.0,18.0,20.0,32.0,18.0,8.0,6.0,17.125,0.9897634547853196,16.0,31.0,18.0,9.0,13.5,15.0
JOLANTE,0.010644790290522978,17,0.5729166666666666,0.5729166666666666,22,0.11358782026948236,1.7454545454545456,1.7454545454545456,3,28,665,89,3469,14.0,13.0,15.0,14.0,16.0,13.0,11.0,10.0,13.25,0.24775780224127872,14.0,7.0,14.0,11.0,12.5,12.0
POLKAU,0.009832421490175502,14,0.5612244897959183,0.5612244897959183,14,0.05550961784699997,1.781818181818182,1.781818181818182,2,9,190,28,1012,17.0,15.0,16.0,22.0,34.0,18.0,25.0,26.0,21.625,0.8099203554318518,23.0,25.0,17.0,24.0,20.5,19.0
HERMANN GANS,0.05340380874736097,33,0.6962025316455697,0.6962025316455697,57,0.3297235708059298,1.4363636363636363,1.4363636363636363,6,22,344,54,1936,4.0,5.0,6.0,4.0,3.0,4.0,14.0,18.0,7.25,0.6967718933973811,7.0,20.0,4.0,12.0,8.0,7.0
JOST VON HOHENKIRCH,0.0020418864018142808,12,0.5392156862745098,0.5392156862745098,19,0.13311497871796604,1.8545454545454547,1.8545454545454547,4,20,330,51,1810,26.0,30.0,24.0,17.0,15.0,9.0,21.0,19.0,20.125,0.8303331409741515,19.0,27.0,23.0,20.0,21.5,22.0
ZWEITE STIMME,0.0,5,0.44,0.44,5,0.018807056337200666,2.272727272727273,2.272727272727273,1,3,30,6,156,49.0,52.0,27.0,49.0,52.0,27.0,36.0,44.0,42.0,1.32624604483051,52.0,44.0,51.0,42.0,46.5,47.0
LANGSCHENKEL,0.014895726014264343,21,0.6111111111111112,0.6111111111111112,26,0.133755100707253,1.6363636363636362,1.6363636363636362,3,21,427,17,2273,9.0,9.0,12.0,11.0,13.0,13.0,16.0,16.0,12.375,0.34028283928856257,12.0,9.0,9.0,17.0,13.0,14.0
STIMME,0.0,9,0.5445544554455446,0.5445544554455446,9,0.04237653226094472,1.8363636363636362,1.8363636363636362,1,1,9,1,44,42.0,26.0,27.0,43.0,44.0,27.0,49.0,50.0,38.5,1.2730026371872583,42.0,40.0,41.0,51.0,46.0,45.0
GRAF VON KYBURG,0.05340380874736097,33,0.6962025316455697,0.6962025316455697,52,0.3006868233859228,1.4363636363636363,1.4363636363636363,5,21,323,50,1736,4.0,5.0,6.0,5.0,5.0,8.0,16.0,20.0,8.625,0.7498139650225628,8.0,23.0,5.0,16.0,10.5,10.0
MEHRERE SÖLDNER,0.0,12,0.5339805825242718,0.5339805825242718,12,0.0738087790472383,1.8727272727272728,1.8727272727272728,1,3,7,3,43,26.0,33.0,27.0,30.0,25.0,27.0,36.0,51.0,31.875,1.0741223576882264,35.0,34.0,30.0,45.0,37.5,37.0
ZWEITER POLNISCHER SOLDAT,0.0,10,0.514018691588785,0.514018691588785,10,0.0450989775871766,1.9454545454545458,1.9454545454545458,1,2,40,6,216,39.0,40.0,27.0,39.0,41.0,27.0,44.0,41.0,37.25,0.8149003006503311,40.0,26.0,45.0,44.0,44.5,44.0
RODE,0.0,3,0.40441176470588236,0.40441176470588236,3,0.014650060928789392,2.4727272727272727,2.4727272727272727,1,6,311,44,1730,53.0,54.0,27.0,53.0,54.0,27.0,28.0,21.0,39.625,1.87313895735779,47.0,55.0,54.0,26.0,40.0,39.0
