,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,9,6,18,6,11,14,20,21,8.2,0.5640000000000001,0.012622499999999998,7.449999999999999,0.0415,2.089,11.484,230.2245
9,6,5,6,6,7,5,5,3,6.6,0.4435,0.0382,11.75,0.08925,4.300000000000001,34.8,697.6500000000001
8,5,5,2,5,3,5,1,2,5.0,0.594,0.11449999999999999,16.05,0.137,6.5,104.4,1627.85
7,2,4,1,4,3,1,1,1,3.4000000000000004,0.504,0.16549999999999998,3.1285,0.32699999999999996,8.7,127.6,1162.75
6,2,3,1,3,1,1,1,1,16.2,0.474,0.242,24.65,0.1845,15.299999999999999,220.4,4418.45
5,1,2,0,2,1,1,0,0,1.792,0.654,0.06365,41.85,0.23199999999999998,17.5,58.0,2092.95
4,1,2,0,1,1,1,0,0,9.8,0.715,0.0892,20.35,0.42200000000000004,21.9,81.19999999999999,2558.05
3,1,1,0,1,1,0,0,0,13.0,0.534,0.14,28.950000000000003,0.46950000000000003,10.9,150.8,3023.1499999999996
2,1,0,0,0,0,0,0,0,14.600000000000001,0.624,0.191,33.25,0.27949999999999997,13.1,174.0,3488.25
1,0,0,0,0,0,0,0,0,11.399999999999999,0.6845,0.2165,37.55,0.3745,19.700000000000003,197.2,3953.35
