segment;change_rate
1;1.0
2;0.6666666666666666
3;0.8571428571428571
4;0.9090909090909091
5;0.4
6;1.0
7;0.75
8;0.5
9;1.0
10;1.0
11;1.0
12;0.5
13;1.0
14;0.5
15;0.8
16;1.0
17;0.6666666666666666
18;1.0
19;1.0
20;0.7142857142857143
21;0.8181818181818182
22;0.8571428571428571
23;0.75
24;0.0
25;0.5
26;0.8
27;1.0
28;0.3333333333333333
29;1.0
30;0.3333333333333333
31;1.0
32;1.0
33;1.0
34;1.0
35;1.0
36;0.3333333333333333
37;0.6666666666666666
38;1.0
39;0.5
40;1.0
41;0.6666666666666666
42;1.0
43;0.5
44;0.5
45;0.6666666666666666
46;1.0
47;1.0
48;1.0
49;0.5
50;0.5
51;1.0
52;0.8888888888888888
53;1.0
54;1.0
55;1.0
56;1.0
57;1.0
58;0.6
59;1.0
60;0.8
