name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
CHOR,0.031855642424809504,42,0.5150375939849624,0.5150375939849624,45,0.10039079292593149,1.9416058394160585,1.9416058394160585,3,6,192,28,991,3.0,18.0,12.0,10.0,18.0,21.0,50.0,39.0,21.375,1.9524909685176157,16.0,30.0,11.0,39.0,25.0,21.0
BAUEN,0.0,3,0.38375350140056025,0.38375350140056025,3,0.012601374594895874,2.605839416058394,2.605839416058394,1,1,51,0,292,131.0,122.0,36.0,131.0,107.0,40.0,97.0,87.0,93.875,4.731372073344959,132.0,118.0,126.0,98.0,112.0,128.0
DER WEIN,0.0,19,0.45514950166112955,0.45514950166112955,19,0.015432688356037743,2.197080291970803,2.197080291970803,1,1,5,1,26,55.0,41.0,36.0,59.0,62.0,40.0,97.0,132.0,65.25,4.145646382480231,89.0,96.0,55.0,132.0,93.5,108.0
DER SPIEGEL,0.0,19,0.45514950166112955,0.45514950166112955,19,0.015432688356037743,2.197080291970803,2.197080291970803,1,1,10,1,65,55.0,41.0,36.0,59.0,62.0,40.0,97.0,121.0,63.875,3.760958689996095,82.0,75.0,55.0,124.0,89.5,100.0
DRITTER BEDIENTER,0.0,13,0.41389728096676737,0.41389728096676737,13,0.05449801288588061,2.4160583941605838,2.4160583941605838,1,3,40,2,205,81.0,99.0,36.0,84.0,26.0,40.0,69.0,92.0,65.875,3.5034660771258266,92.0,60.0,89.0,81.0,85.0,95.0
SHAKESPEARE,0.0,5,0.37534246575342467,0.37534246575342467,5,0.008577467743729849,2.6642335766423355,2.6642335766423355,1,10,159,6,824,117.0,123.0,36.0,118.0,121.0,40.0,40.0,47.0,80.25,5.2964568682415285,115.0,128.0,119.0,43.0,81.0,85.0
LYSIPPUS,0.0365407982296499,39,0.5805084745762712,0.5805084745762712,53,0.17871402188438254,1.7226277372262773,1.7226277372262773,5,163,2035,150,11202,5.0,3.0,7.0,6.0,11.0,14.0,4.0,9.0,7.375,0.46740879553433434,4.0,6.0,4.0,9.0,6.5,5.0
MEISTER,0.0,5,0.33827160493827163,0.33827160493827163,5,0.003191949658114333,2.9562043795620436,2.9562043795620436,1,4,185,24,1002,117.0,136.0,36.0,118.0,136.0,40.0,60.0,42.0,85.625,5.632311716147921,121.0,131.0,133.0,49.0,91.0,104.0
DIE LEUTE,0.0,20,0.4491803278688525,0.4491803278688525,20,0.036113541121794365,2.2262773722627736,2.2262773722627736,1,12,116,12,606,44.0,59.0,36.0,49.0,36.0,40.0,36.0,57.0,44.625,1.1800754742812003,31.0,18.0,27.0,46.0,36.5,25.0
DRINNEN,0.0,9,0.46598639455782315,0.46598639455782315,9,0.022898065236837583,2.145985401459854,2.145985401459854,1,2,36,1,186,103.0,28.0,36.0,104.0,49.0,40.0,82.0,96.0,67.25,4.027112356089836,94.0,89.0,84.0,93.0,88.5,99.0
