,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,11,8,24,8,7,17,19,22,15.85,0.5835,0.010197,9.850000000000001,0.1054,1.4455,3.564,128.502
9,8,8,2,6,6,4,4,3,7.75,0.6425000000000001,0.0927,3.9205,0.02296,2.3499999999999996,10.8,389.40000000000003
8,4,5,1,5,6,4,2,1,2.3365,0.5245,0.051500000000000004,15.75,0.06425,3.25,18.0,649.0
7,3,3,1,3,4,1,2,1,23.950000000000003,0.7015,0.0721,21.65,0.1875,4.15,32.4,908.6
6,2,3,1,2,3,1,2,1,5.050000000000001,0.8785000000000001,0.11349999999999999,33.45,0.39249999999999996,5.95,68.4,1687.4
5,1,1,1,2,2,1,1,1,21.25,0.406,0.1955,51.150000000000006,0.22849999999999998,6.85,46.8,1947.0
4,1,1,0,1,1,1,0,1,26.65,0.7605,0.0309,27.55,0.26949999999999996,7.75,25.200000000000003,2466.2
3,0,1,0,1,1,1,0,0,10.45,0.9375,0.134,39.349999999999994,0.3105,9.55,39.6,1168.2
2,0,0,0,1,0,0,0,0,13.15,0.4655,0.1545,45.25,0.14650000000000002,5.05,54.0,1427.8
1,0,0,0,1,0,0,0,0,18.549999999999997,0.8195,0.175,57.05,0.35150000000000003,8.649999999999999,61.2,2206.6000000000004
