,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,2,2,2,2,2,2,2,1,0.9999,0.9999,-0.0001,0.9999,0.70705,0.9999,8.998999999999999,146.5045
9,0,0,0,0,0,0,0,1,0.9991,0.9991,-0.0009,0.9991,0.70645,0.9991,8.992,228.45
8,0,0,0,0,0,0,0,0,0.9993,0.9993,-0.0007,0.9993,0.7066,0.9993,8.994,155.64999999999998
7,0,0,0,0,0,0,0,0,0.9995,0.9995,-0.0005,0.9995,0.70675,0.9995,8.9955,164.75
6,0,0,0,0,0,0,0,0,0.9997,0.9997,-0.00030000000000000003,0.9997,0.7069,0.9997,8.997,173.85000000000002
5,0,0,0,0,0,0,0,0,1.0001,1.0001,0.0001,1.0001,0.70715,1.0001,9.001000000000001,182.95
4,0,0,0,0,0,0,0,0,1.0003,1.0003,0.00030000000000000003,1.0003,0.7073,1.0003,9.003,192.05
3,0,0,0,0,0,0,0,0,1.0005,1.0005,0.0005,1.0005,0.70745,1.0005,9.0045,201.14999999999998
2,0,0,0,0,0,0,0,0,1.0007,1.0007,0.0007,1.0007,0.7076,1.0007,9.006,210.25
1,0,0,0,0,0,0,0,0,1.0009,1.0009,0.0009,1.0009,0.70775,1.0009,9.008,219.35000000000002
