,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,9,11,21,11,14,21,20,25,8.0,0.5435,0.007524,13.850000000000001,0.02857,2.0395,8.227,271.71549999999996
9,4,5,6,9,6,4,5,3,3.188,0.6255,0.038099999999999995,5.9105,0.07400000000000001,4.15,22.9,1368.25
8,4,4,3,5,5,4,2,2,12.8,0.5845,0.02285,37.55,0.11929999999999999,14.649999999999999,37.5,1915.15
7,4,4,2,4,4,2,2,1,20.0,0.7075,0.053349999999999995,21.75,0.20950000000000002,6.25,52.099999999999994,821.3499999999999
6,3,3,1,2,3,2,2,1,10.399999999999999,0.6665000000000001,0.0686,53.349999999999994,0.2545,10.45,66.7,2462.05
5,3,2,1,1,2,1,2,1,15.2,0.4205,0.09925,29.65,0.39049999999999996,8.35,81.3,3008.95
4,3,2,1,1,1,1,1,1,17.6,0.5025,0.14450000000000002,45.45,0.4355,20.95,110.5,3555.8500000000004
3,2,2,0,1,0,0,1,1,5.6,0.7895000000000001,0.08385000000000001,69.15,0.16449999999999998,12.55,139.7,5196.55
2,2,1,0,1,0,0,0,0,24.8,0.4615,0.11449999999999999,77.05,0.30000000000000004,16.75,95.9,4102.75
1,1,1,0,0,0,0,0,0,22.4,0.7484999999999999,0.1295,61.25,0.34550000000000003,18.85,125.1,4649.65
