,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,7,7,9,7,7,9,6,5,5.75,0.719,-0.0001,5.75,0.359,0.9999,6.088500000000001,85.1895
9,2,2,0,2,2,0,1,2,1.2475,0.156,-0.0009,1.2475,0.018711,0.9991,55.35,1634.95
8,0,0,0,0,0,0,1,1,1.75,0.219,-0.0007,1.75,0.0567,0.9993,67.65,258.15
7,0,0,0,0,0,0,1,1,2.25,0.281,-0.0005,2.25,0.0943,0.9995,116.85,946.55
6,0,0,0,0,0,0,0,0,2.75,0.3435,-0.00030000000000000003,2.75,0.132,0.9997,18.450000000000003,430.25
5,0,0,0,0,0,0,0,0,3.25,0.4065,0.0001,3.25,0.16999999999999998,1.0001,30.75,602.3499999999999
4,0,0,0,0,0,0,0,0,3.75,0.469,0.00030000000000000003,3.75,0.20800000000000002,1.0003,43.05,774.45
3,0,0,0,0,0,0,0,0,4.25,0.531,0.0005,4.25,0.246,1.0005,79.94999999999999,1118.65
2,0,0,0,0,0,0,0,0,4.75,0.5935,0.0007,4.75,0.2835,1.0007,92.25,1290.75
1,0,0,0,0,0,0,0,0,5.25,0.6565,0.0009,5.25,0.321,1.0009,104.55000000000001,1462.85
