,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,4,4,10,4,4,6,7,7,2.495,0.5605,0.010692,5.277,0.06615,2.1879999999999997,10.9,396.2285
9,2,2,1,3,3,4,3,4,7.5,0.7155,0.0324,14.5,0.218,7.0,31.0,1184.4499999999998
8,2,2,1,2,2,2,1,2,8.5,0.7545,0.0755,9.899999999999999,0.16749999999999998,4.6,51.0,2753.05
7,2,2,1,2,2,1,1,1,11.5,0.9095,0.1835,19.1,0.26849999999999996,14.2,71.0,7458.85
6,1,1,1,1,1,1,1,0,3.5,0.5994999999999999,0.20500000000000002,23.7,0.3195,23.8,111.0,1968.75
5,1,1,0,1,1,0,1,0,5.5,0.6385000000000001,0.05395,37.5,0.471,9.399999999999999,191.0,3537.35
4,1,1,0,1,1,0,0,0,6.5,0.677,0.09715,46.7,0.5215000000000001,11.8,91.0,4321.65
3,1,1,0,0,0,0,0,0,9.5,0.793,0.1185,28.3,0.11685,16.6,131.0,5105.950000000001
2,0,0,0,0,0,0,0,0,4.5,0.8315,0.14,32.900000000000006,0.37,19.0,151.0,5890.25
1,0,0,0,0,0,0,0,0,10.5,0.8705,0.16199999999999998,42.099999999999994,0.4205,21.4,171.0,6674.549999999999
