ERSTER STROLCH;GIANOTTO;1
ERSTER STROLCH;ZWEITER STROLCH;2
ERSTER STROLCH;DON JUAN;2
GIANOTTO;LEPORELLO;1
GIANOTTO;DER MÖNCH;1
GIANOTTO;ZWEITER STROLCH;1
GIANOTTO;STIMMEN;1
GIANOTTO;MARTINA;5
GIANOTTO;BIONDETTA;3
GIANOTTO;DER ALTE FISCHER;3
GIANOTTO;GHITA;5
GIANOTTO;WIRTH;3
GIANOTTO;DON JUAN;11
GIANOTTO;GRÄFIN;4
LEPORELLO;DER ALTE FISCHER;2
LEPORELLO;WIRTH;1
LEPORELLO;MARTINA;2
LEPORELLO;DON JUAN;8
LEPORELLO;DER MÖNCH;2
LEPORELLO;GHITA;1
LEPORELLO;GRÄFIN;1
DER MÖNCH;DER ALTE FISCHER;1
DER MÖNCH;WIRTH;1
DER MÖNCH;DON JUAN;3
DER MÖNCH;MARTINA;1
DER MÖNCH;GRÄFIN;1
ZWEITER STROLCH;DON JUAN;2
STIMMEN;DER ALTE FISCHER;1
STIMMEN;MARTINA;1
STIMMEN;GRÄFIN;1
EIN DIENER;GRÄFIN;2
EIN DIENER;DON JUAN;1
MARTINA;GHITA;3
MARTINA;DER ALTE FISCHER;3
MARTINA;WIRTH;2
MARTINA;DON JUAN;4
MARTINA;GRÄFIN;3
BIONDETTA;WIRTH;1
BIONDETTA;DON JUAN;5
DER ALTE FISCHER;WIRTH;1
DER ALTE FISCHER;DON JUAN;2
DER ALTE FISCHER;GRÄFIN;2
GHITA;WIRTH;1
GHITA;DON JUAN;5
GHITA;GRÄFIN;1
WIRTH;GRÄFIN;1
WIRTH;DON JUAN;3
DON JUAN;GRÄFIN;3
