,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,14,14,14,14,14,14,7,11,9.346499999999999,0.7104999999999999,0.006731999999999999,9.4455,0.21150000000000002,1.0495,10.207,258.579
9,3,3,3,3,3,3,4,4,15.65,0.985,0.129,17.55,0.3675,1.95,28.900000000000002,765.3
8,0,0,0,0,0,0,2,1,10.05,0.7415,0.020399999999999998,10.350000000000001,0.22849999999999998,1.15,47.5,1269.5
7,0,0,0,0,0,0,2,1,10.75,0.772,0.034,11.25,0.246,1.25,84.7,4798.9
6,0,0,0,0,0,0,1,0,11.45,0.802,0.0476,12.149999999999999,0.2635,1.35,66.1,1773.6999999999998
5,0,0,0,0,0,0,1,0,12.15,0.8325,0.06125,13.05,0.28049999999999997,1.45,177.7,2277.9
4,0,0,0,0,0,0,0,0,12.85,0.863,0.0749,13.95,0.298,1.55,103.3,2782.1
3,0,0,0,0,0,0,0,0,13.55,0.8935,0.0885,14.850000000000001,0.3155,1.65,121.89999999999999,3286.3
2,0,0,0,0,0,0,0,0,14.25,0.9239999999999999,0.10214999999999999,15.75,0.3325,1.75,140.5,3790.5
1,0,0,0,0,0,0,0,0,14.95,0.9544999999999999,0.11549999999999999,16.65,0.35,1.85,159.10000000000002,4294.7
