name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
ADOLPH,0.05091726084373143,13,0.8095238095238095,0.8095238095238095,48,0.389286806467888,1.2352941176470589,1.2352941176470589,15,111,2355,66,13481,3.0,3.0,6.0,3.0,2.0,3.0,3.0,4.0,3.375,0.1484668673956776,3.0,9.0,3.0,3.0,3.0,3.0
BASTIAN,0.030031406501994734,11,0.7391304347826086,0.7391304347826086,17,0.1293338331119364,1.3529411764705883,1.3529411764705883,4,28,835,11,4518,6.0,6.0,7.0,11.0,11.0,10.0,10.0,10.0,8.875,0.2708905617192512,9.0,16.0,8.0,9.0,8.5,9.0
CHARLES,0.020046048722519305,10,0.7083333333333334,0.7083333333333334,33,0.27656467042319655,1.4117647058823528,1.4117647058823528,11,48,1047,27,5939,8.0,8.0,8.0,6.0,6.0,6.0,8.0,8.0,7.25,0.12938729237669142,8.0,5.0,7.0,8.0,7.5,8.0
DIENER,0.0,6,0.5666666666666667,0.5666666666666667,9,0.06316247290383316,1.7647058823529411,1.7647058823529411,3,3,30,3,171,15.0,15.0,12.0,13.0,13.0,13.0,13.0,15.0,13.625,0.1484668673956776,14.0,9.0,15.0,14.0,14.5,13.0
DENISE,0.05822935234699939,12,0.7727272727272727,0.7727272727272727,39,0.3403705616228006,1.2941176470588236,1.2941176470588236,13,83,2144,39,11335,5.0,5.0,5.0,5.0,4.0,5.0,7.0,6.0,5.25,0.11080065755348979,5.0,4.0,4.0,6.0,5.0,5.0
GERTRUDE,0.08820876835582717,11,0.7391304347826086,0.7391304347826086,43,0.33147894359365704,1.3529411764705883,1.3529411764705883,14,85,2224,48,12042,6.0,6.0,3.0,4.0,5.0,4.0,6.0,5.0,4.875,0.1407489533074504,4.0,7.0,4.0,4.0,4.0,4.0
LEBLANC,0.008169934640522876,9,0.6296296296296297,0.6296296296296297,20,0.1384646215648666,1.588235294117647,1.588235294117647,5,36,615,15,3513,9.0,11.0,9.0,9.0,10.0,9.0,9.0,12.0,9.75,0.1456205931276794,10.0,8.0,11.0,9.0,10.0,10.0
LISBETH,0.0,7,0.6296296296296297,0.6296296296296297,15,0.12240841507982692,1.588235294117647,1.588235294117647,4,27,684,14,3821,12.0,11.0,12.0,12.0,12.0,10.0,11.0,11.0,11.375,0.09300297614285562,12.0,3.0,12.0,12.0,12.0,12.0
AMÉLIE,0.0,7,0.5862068965517241,0.5862068965517241,7,0.049034253076876734,1.7058823529411766,1.7058823529411766,1,3,33,3,207,12.0,13.0,12.0,14.0,15.0,15.0,13.0,14.0,13.5,0.1494035761667992,13.0,11.0,14.0,15.0,14.5,13.0
GRAF,0.06728630846277905,14,0.85,0.85,26,0.1822609238272409,1.1764705882352942,1.1764705882352942,7,89,2074,47,11987,2.0,2.0,4.0,8.0,8.0,8.0,4.0,7.0,5.375,0.3336586953759785,6.0,18.0,4.0,7.0,5.5,6.0
KATHRIN,0.0,3,0.5483870967741935,0.5483870967741935,3,0.03133534312577442,1.823529411764706,1.823529411764706,2,3,121,1,663,16.0,16.0,12.0,16.0,16.0,14.0,13.0,13.0,14.5,0.21128856368212914,16.0,13.0,16.0,13.0,14.5,13.0
STEFFEN,0.0030929038281979457,9,0.68,0.68,18,0.14382083354888564,1.4705882352941175,1.4705882352941175,4,25,940,12,5076,9.0,9.0,10.0,10.0,9.0,10.0,12.0,9.0,9.75,0.12938729237669142,10.0,5.0,10.0,11.0,10.5,11.0
Fleure,0.0,7,0.5862068965517241,0.5862068965517241,7,0.04903425307687675,1.7058823529411766,1.7058823529411766,1,0,0,0,0,12.0,13.0,12.0,14.0,14.0,15.0,17.0,17.0,14.25,0.24775780224127872,15.0,15.0,13.0,17.0,15.0,16.0
PETER,0.0,3,0.4857142857142857,0.4857142857142857,3,0.019087403578835867,2.058823529411765,2.058823529411765,1,2,26,2,124,16.0,17.0,12.0,16.0,17.0,15.0,16.0,16.0,15.625,0.1997487260821169,17.0,12.0,17.0,16.0,16.5,17.0
ROSE,0.10772748493336726,15,0.8947368421052632,0.8947368421052632,64,0.47172510722970395,1.1176470588235294,1.1176470588235294,22,201,4753,129,25921,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.125,0.04419417382415922,1.0,1.0,1.0,1.0,1.0,1.0
DORE,0.15143292165350988,13,0.8095238095238095,0.8095238095238095,50,0.3686782736724242,1.2352941176470589,1.2352941176470589,17,132,4004,77,21880,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.25,0.08838834764831845,2.0,2.0,2.0,2.0,2.0,2.0
VEIT,0.0030929038281979457,9,0.68,0.68,31,0.26924588358031837,1.4705882352941175,1.4705882352941175,10,86,2362,47,13176,9.0,9.0,10.0,7.0,7.0,7.0,5.0,3.0,7.125,0.28689766094749336,7.0,17.0,9.0,4.0,6.5,7.0
Michel,0.0,3,0.4857142857142857,0.4857142857142857,3,0.019087403578835867,2.058823529411765,2.058823529411765,1,0,0,0,0,16.0,17.0,12.0,16.0,17.0,15.0,17.0,17.0,15.875,0.2158610250667247,18.0,14.0,17.0,17.0,17.0,18.0
