,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,3,10,6,6,6,6,6,3.5940000000000003,0.7925,0.0074745,6.0195,0.041499999999999995,2.0395,9.9495,235.2735
9,3,2,2,3,4,4,4,5,7.199999999999999,0.506,0.0227,18.25,0.1325,4.15,30.150000000000002,2138.85
8,3,2,2,2,2,2,4,4,8.4,0.5475,0.053000000000000005,30.45,0.268,10.45,90.45,712.95
7,2,2,1,2,2,2,1,1,10.8,0.588,0.06815,48.75,0.35850000000000004,14.649999999999999,50.25,1188.25
6,2,2,1,1,1,1,1,1,13.2,0.6285000000000001,0.0833,12.149999999999999,0.1775,6.25,110.55,4040.05
5,2,2,1,1,1,1,1,1,14.4,0.6695,0.11349999999999999,24.35,0.3135,12.55,130.64999999999998,4515.35
4,1,2,1,1,1,1,1,0,6.0,0.7515000000000001,0.14350000000000002,36.55,0.40349999999999997,16.75,190.95,1663.5500000000002
3,1,1,0,1,1,1,0,0,9.6,0.7104999999999999,0.03785,42.650000000000006,0.44899999999999995,20.95,70.35,2614.15
2,1,1,0,1,0,0,0,0,12.0,0.8334999999999999,0.09845,60.95,0.0872,8.35,150.75,3089.45
1,0,1,0,0,0,0,0,0,4.800000000000001,0.8745,0.1285,54.849999999999994,0.2225,18.85,170.85000000000002,3564.75
