name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
LANDLEUTE,0.03673611111111111,11,0.7619047619047619,0.7619047619047619,31,0.22681413128096148,1.3125,1.3125,7,43,876,161,4451,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,6.25,0.12938729237669142,7.0,7.0,6.0,7.0,6.5,7.0
CHOR,0.013749999999999998,8,0.5925925925925926,0.5925925925925926,9,0.04250634644773108,1.6875,1.6875,2,6,84,10,296,10.0,11.0,10.0,10.0,12.0,10.0,11.0,12.0,10.75,0.11080065755348979,10.0,6.0,11.0,11.0,11.0,9.0
BARON,0.15104166666666666,12,0.8,0.8,68,0.4839769083867015,1.25,1.25,25,318,3626,461,19235,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.75,0.057863756235784464,2.0,1.0,1.0,2.0,1.5,2.0
ZWEITES MÄDCHEN,0.0,4,0.5,0.5,4,0.0199898343286051,2.0,2.0,1,3,9,3,51,13.0,14.0,11.0,14.0,15.0,12.0,13.0,16.0,13.5,0.2004459314343183,16.0,11.0,15.0,14.0,14.5,15.0
DIENER,0.0,5,0.5333333333333333,0.5333333333333333,5,0.022024079503161827,1.875,1.875,1,1,22,5,131,12.0,12.0,11.0,13.0,13.0,12.0,17.0,15.0,13.125,0.24492619150616435,14.0,14.0,12.0,17.0,14.5,15.0
MÄDCHEN,0.0,4,0.5,0.5,4,0.019989834328605096,2.0,2.0,1,11,198,26,974,13.0,14.0,11.0,14.0,17.0,12.0,10.0,10.0,12.625,0.2983399008322075,13.0,15.0,17.0,10.0,13.5,13.0
ERSTES MÄDCHEN,0.0,4,0.5,0.5,4,0.0199898343286051,2.0,2.0,1,3,9,3,42,13.0,14.0,11.0,14.0,15.0,12.0,13.0,16.0,13.5,0.2004459314343183,16.0,11.0,15.0,14.0,14.5,15.0
BARONIN,0.02881944444444444,10,0.7272727272727273,0.7272727272727273,48,0.36701200647125903,1.375,1.375,16,203,2466,401,13219,8.0,8.0,8.0,4.0,4.0,4.0,5.0,5.0,5.75,0.23857837885513192,6.0,13.0,7.0,4.0,5.5,5.0
EIN HOCHZEITSGAST,0.0,4,0.5161290322580645,0.5161290322580645,4,0.021371801015278077,1.9375,1.9375,1,2,34,6,178,13.0,13.0,11.0,14.0,14.0,12.0,15.0,14.0,13.25,0.16021748611541392,15.0,8.0,13.0,14.0,13.5,13.0
GRAF,0.15104166666666666,12,0.8,0.8,56,0.4112628563393255,1.25,1.25,17,303,3212,463,17416,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.5,0.0944911182523068,3.0,5.0,3.0,3.0,3.0,3.0
PANCRATIUS,0.02965277777777779,11,0.7619047619047619,0.7619047619047619,25,0.1791098392579949,1.3125,1.3125,7,41,659,41,3428,5.0,5.0,6.0,8.0,8.0,7.0,8.0,8.0,6.875,0.1695253352325672,8.0,9.0,7.0,8.0,7.5,8.0
GRETCHEN,0.07284722222222222,12,0.8,0.8,39,0.2723743543214206,1.25,1.25,12,207,2695,339,13753,2.0,2.0,4.0,5.0,6.0,6.0,4.0,4.0,4.125,0.1940809385650371,4.0,10.0,4.0,4.0,4.0,4.0
NANETTE,0.0,3,0.5,0.5,7,0.0527416811549537,2.0,2.0,4,34,460,49,2506,17.0,14.0,11.0,12.0,11.0,9.0,9.0,9.0,11.5,0.3535533905932738,12.0,17.0,13.0,9.0,11.0,9.0
SCHULJUGEND,0.0,8,0.6666666666666666,0.6666666666666666,8,0.05730180238530888,1.5,1.5,1,6,112,16,554,10.0,10.0,11.0,11.0,10.0,12.0,11.0,11.0,10.75,0.08838834764831845,10.0,3.0,10.0,12.0,11.0,9.0
GRÄFIN,0.02965277777777779,11,0.7619047619047619,0.7619047619047619,37,0.28211997650345516,1.3125,1.3125,13,109,1515,153,8204,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.5,0.0668153104781061,5.0,2.0,5.0,6.0,5.5,5.0
JÄGER,0.02416666666666667,10,0.7272727272727273,0.7272727272727273,11,0.0684744742115424,1.375,1.375,2,2,36,8,190,8.0,8.0,9.0,9.0,9.0,10.0,15.0,13.0,10.125,0.31649235490653754,9.0,16.0,9.0,13.0,11.0,9.0
BACULUS,0.10395833333333332,13,0.8421052631578947,0.8421052631578947,70,0.45817641642421575,1.1875,1.1875,26,373,5869,746,31336,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.375,0.09300297614285562,1.0,4.0,1.0,1.0,1.0,1.0
