name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
CABOGA,0.017016806722689074,15,0.8823529411764706,1.0,29,0.3336335033375252,1.1333333333333333,1.0,3,81,5812,73,32575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CAROFILLI,0.007352941176470587,14,0.8272058823529411,0.9375,22,0.257894619902438,1.208888888888889,1.0666666666666667,2,22,787,10,4359,6.0,6.0,6.0,6.0,6.0,6.0,8.0,7.0,6.375,0.09300297614285562,7.0,4.0,6.0,8.0,7.0,7.0
MARINA,0.017016806722689074,15,0.8823529411764706,1.0,29,0.3336335033375252,1.1333333333333333,1.0,3,22,655,5,3503,1.0,1.0,1.0,1.0,1.0,1.0,8.0,8.0,2.75,0.4050462936504913,4.0,14.0,1.0,6.0,3.5,3.0
CZIRICH,0.0,7,0.5754475703324808,0.6521739130434783,7,0.09300331913237776,1.7377777777777776,1.5333333333333332,1,3,491,2,2634,16.0,16.0,12.0,16.0,16.0,12.0,16.0,10.0,14.25,0.31160586368955623,16.0,12.0,16.0,15.0,15.5,16.0
CORNELIA,0.005252100840336134,12,0.7352941176470589,0.8333333333333334,18,0.2220618604938509,1.3599999999999999,1.2,2,58,1858,24,10452,10.0,10.0,10.0,10.0,10.0,6.0,2.0,4.0,7.75,0.4105201404490232,8.0,15.0,10.0,4.0,7.0,7.0
HITROV,0.017016806722689074,15,0.8823529411764706,1.0,29,0.3336335033375252,1.1333333333333333,1.0,3,10,237,4,1355,1.0,1.0,1.0,1.0,1.0,1.0,11.0,13.0,3.75,0.6399986049091938,5.0,18.0,1.0,9.0,5.0,5.0
CROOK,0.0,11,0.696594427244582,0.7894736842105263,11,0.13842341712805956,1.4355555555555557,1.2666666666666666,1,28,574,16,3202,12.0,12.0,12.0,12.0,12.0,12.0,7.0,9.0,11.0,0.24090602791485788,12.0,9.0,12.0,10.0,11.0,11.0
JOHANNES MÜLLER,0.0,1,0.058823529411764705,1.0,1,1.9344256665824713e-09,17.0,1.0,1,1,99,0,596,17.0,17.0,12.0,17.0,17.0,12.0,17.0,16.0,15.625,0.2829807855667943,17.0,10.0,17.0,17.0,17.0,17.0
POLO,0.0,11,0.696594427244582,0.7894736842105263,11,0.13034734085527974,1.4355555555555557,1.2666666666666666,1,16,348,20,1880,12.0,12.0,12.0,12.0,13.0,12.0,10.0,11.0,11.75,0.11080065755348979,13.0,5.0,13.0,11.0,12.0,13.0
BETTLER,0.007352941176470587,14,0.8272058823529411,0.9375,22,0.257894619902438,1.208888888888889,1.0666666666666667,2,41,1477,92,7869,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.875,0.04419417382415922,6.0,2.0,6.0,6.0,6.0,6.0
RATSHERR,0.007352941176470587,14,0.8272058823529411,0.9375,22,0.257894619902438,1.208888888888889,1.0666666666666667,2,7,205,2,1154,6.0,6.0,6.0,6.0,6.0,6.0,13.0,14.0,7.875,0.4352621336620037,9.0,16.0,6.0,11.0,8.5,10.0
EINER,0.0,11,0.696594427244582,0.7894736842105263,11,0.13034734085527974,1.4355555555555557,1.2666666666666666,1,4,182,24,990,12.0,12.0,12.0,12.0,13.0,12.0,15.0,15.0,12.875,0.1695253352325672,15.0,7.0,13.0,16.0,14.5,15.0
MITROVICH,0.017016806722689074,15,0.8823529411764706,1.0,29,0.3336335033375251,1.1333333333333333,1.0,3,44,1839,18,10605,1.0,1.0,1.0,1.0,4.0,1.0,4.0,5.0,2.25,0.21906864547116603,3.0,8.0,4.0,3.0,3.5,3.0
BÜSCHING,0.0,1,0.058823529411764705,1.0,1,1.9344256665824713e-09,17.0,1.0,1,1,45,0,301,17.0,17.0,12.0,17.0,17.0,12.0,17.0,18.0,15.875,0.302057675429237,18.0,11.0,17.0,18.0,17.5,18.0
HERZOG,0.005252100840336134,12,0.7352941176470589,0.8333333333333334,18,0.2220618604938509,1.3599999999999999,1.2,2,38,1881,40,10798,10.0,10.0,10.0,10.0,10.0,6.0,6.0,3.0,8.125,0.3435470179923391,10.0,13.0,10.0,5.0,7.5,9.0
VIELE,0.007352941176470587,14,0.8272058823529411,0.9375,22,0.25789461990243795,1.208888888888889,1.0666666666666667,2,7,85,9,468,6.0,6.0,6.0,6.0,9.0,6.0,13.0,17.0,8.625,0.5258390404188067,11.0,17.0,9.0,13.0,11.0,11.0
PROCOLI,0.017016806722689074,15,0.8823529411764706,1.0,29,0.3336335033375251,1.1333333333333333,1.0,3,46,2003,17,11082,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.75,0.1456205931276794,2.0,6.0,4.0,2.0,3.0,2.0
KASSUBA,0.0,11,0.696594427244582,0.7894736842105263,11,0.13034734085527974,1.4355555555555557,1.2666666666666666,1,9,263,15,1422,12.0,12.0,12.0,12.0,13.0,12.0,12.0,12.0,12.125,0.04419417382415922,14.0,2.0,13.0,13.0,13.0,14.0
