,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,4,3,11,7,6,7,6,8,5.6434999999999995,0.5954999999999999,0.0067815,10.25,0.0439,2.05,8.811,219.9285
9,4,3,5,5,4,5,5,5,13.45,0.6325000000000001,0.02055,24.25,0.243,4.85,26.700000000000003,666.45
8,3,3,2,2,3,2,4,3,8.25,0.6695,0.08915000000000001,6.7325,0.28300000000000003,1.3465,44.5,1110.75
7,3,3,1,2,2,2,2,2,9.55,0.7064999999999999,0.03425,13.75,0.08399999999999999,4.15,62.3,2443.65
6,2,3,1,2,2,2,1,1,10.85,0.7435,0.048,31.25,0.124,6.25,80.1,1555.0500000000002
5,1,2,1,2,2,2,1,1,6.949999999999999,0.5585,0.13,38.25,0.403,7.65,97.9,2887.95
4,1,2,0,1,1,1,1,1,12.15,0.817,0.06175,20.75,0.16399999999999998,2.75,133.5,4220.85
3,1,1,0,0,1,0,1,0,14.75,0.7805,0.07544999999999999,17.25,0.20350000000000001,3.45,169.1,1999.35
2,1,1,0,0,0,0,0,0,16.05,0.8905000000000001,0.10300000000000001,27.75,0.323,5.550000000000001,115.69999999999999,3332.25
1,1,0,0,0,0,0,0,0,17.35,0.8534999999999999,0.11649999999999999,34.75,0.363,6.949999999999999,151.3,3776.55
