name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
CÄCILIE,0.03145743145743146,8,0.75,0.75,43,0.4159128658147856,1.3333333333333333,1.3333333333333333,21,125,1280,111,6864,4.0,4.0,6.0,2.0,3.0,2.0,4.0,5.0,3.75,0.1735912687073534,4.0,10.0,4.0,4.0,4.0,4.0
RAT,0.011255411255411255,7,0.7058823529411765,0.7058823529411765,22,0.2287578677934078,1.4166666666666665,1.4166666666666665,6,41,609,29,3379,7.0,7.0,8.0,7.0,8.0,8.0,9.0,8.0,7.75,0.08838834764831845,8.0,2.0,8.0,9.0,8.5,8.0
UNRUH,0.049783549783549784,6,0.6666666666666666,0.6666666666666666,24,0.26060207153014603,1.5,1.5,14,79,1552,68,8929,8.0,8.0,5.0,6.0,6.0,5.0,6.0,4.0,6.0,0.1767766952966369,6.0,12.0,7.0,5.0,6.0,6.0
RÄTIN,0.03145743145743146,8,0.75,0.75,31,0.3143575970390213,1.3333333333333333,1.3333333333333333,12,81,913,69,4872,4.0,4.0,6.0,5.0,5.0,6.0,5.0,7.0,5.25,0.12938729237669142,5.0,5.0,5.0,6.0,5.5,5.0
FRITZ,0.0,5,0.5714285714285714,0.5714285714285714,9,0.09466148622506887,1.75,1.75,2,7,50,7,265,9.0,9.0,9.0,10.0,10.0,11.0,11.0,12.0,10.125,0.1407489533074504,11.0,7.0,10.0,11.0,10.5,10.0
KATHARINE,0.06266233766233766,9,0.8,0.8,43,0.42253364271015786,1.25,1.25,20,234,3339,194,18275,3.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.625,0.09300297614285562,2.0,3.0,3.0,2.0,2.5,2.0
BABETTE,0.0,4,0.5714285714285714,0.5714285714285714,5,0.05955562900275765,1.75,1.75,3,9,100,8,506,10.0,9.0,9.0,11.0,11.0,10.0,10.0,10.0,10.0,0.0944911182523068,10.0,4.0,11.0,10.0,10.5,10.0
KAMMERDIENER,0.0,1,0.4444444444444444,0.4444444444444444,1,0.0042204304463437205,2.25,2.25,1,4,15,4,75,13.0,13.0,9.0,13.0,13.0,13.0,12.0,13.0,12.375,0.17598574414666987,13.0,11.0,13.0,13.0,13.0,13.0
BARON,0.1737012987012987,10,0.8571428571428571,0.8571428571428571,47,0.4276830584221194,1.1666666666666667,1.1666666666666667,26,309,5735,236,31977,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.125,0.04419417382415922,1.0,1.0,1.0,1.0,1.0,1.0
PRÄSIDENT,0.17803030303030304,8,0.75,0.75,13,0.13932746116786845,1.3333333333333333,1.3333333333333333,6,58,1064,33,5959,4.0,4.0,1.0,9.0,9.0,8.0,7.0,6.0,6.0,0.3535533905932738,6.0,13.0,6.0,7.0,6.5,7.0
ERNESTINE,0.0,4,0.5714285714285714,0.5714285714285714,21,0.2441182973491166,1.75,1.75,10,48,378,48,1991,10.0,9.0,9.0,8.0,7.0,7.0,8.0,9.0,8.375,0.13258252147247765,9.0,6.0,9.0,8.0,8.5,8.0
SAMUEL,0.0,2,0.5,0.5,3,0.03380446180634913,2.0,2.0,2,3,53,2,305,12.0,12.0,9.0,12.0,12.0,11.0,13.0,11.0,11.5,0.1494035761667992,12.0,8.0,12.0,12.0,12.0,12.0
SITTIG,0.098015873015873,10,0.8571428571428571,0.8571428571428571,38,0.3922124445496899,1.1666666666666667,1.1666666666666667,15,157,2678,113,14510,1.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,2.875,0.15580293184477811,3.0,9.0,2.0,3.0,2.5,2.0
