,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,3,6,3,4,4,4,5,7.75,0.589,0.008811,3.2769999999999997,0.4065,2.2375,18.147000000000002,298.14
9,2,3,2,3,2,2,3,3,4.15,0.754,0.0267,21.7,0.0252,4.75,48.900000000000006,873.0
8,2,2,2,3,2,2,2,2,9.55,0.8365,0.16899999999999998,44.7,0.237,14.75,79.5,1445.0
7,1,1,1,1,1,2,1,1,1.4455,0.46499999999999997,0.0445,7.8999999999999995,0.06775,19.75,110.1,2589.0
6,1,1,1,1,1,1,1,1,2.3499999999999996,0.5065,0.0623,12.5,0.10995,9.75,171.3,3161.0
5,1,1,1,1,1,1,1,1,5.05,0.6715,0.098,30.900000000000002,0.1525,12.25,232.5,5449.0
4,1,1,0,1,1,1,1,0,5.95,0.7124999999999999,0.0801,40.099999999999994,0.27949999999999997,24.75,293.7,2017.0
3,1,1,0,0,1,0,0,0,6.85,0.7955,0.11599999999999999,17.1,0.322,7.25,140.7,3733.0
2,1,0,0,0,0,0,0,0,8.649999999999999,0.5475,0.1335,26.3,0.195,17.25,201.89999999999998,4305.0
1,0,0,0,0,0,0,0,0,3.25,0.6305000000000001,0.151,35.5,0.364,22.25,263.1,4877.0
