,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,3,10,4,4,4,4,5,6.5,0.5635,0.0192555,2.9305000000000003,0.042649999999999993,2.287,17.978499999999997,264.509
9,2,3,1,2,2,3,4,3,1.495,0.6905,0.05835,6.8500000000000005,0.0923,10.100000000000001,52.449999999999996,1821.7
8,2,2,1,2,2,2,2,2,2.5,0.521,0.1365,22.45,0.2405,4.9,121.05,785.3000000000001
7,2,1,1,2,2,2,2,1,3.5,0.606,0.3695,38.05,0.48750000000000004,12.7,326.85,1303.5
6,1,1,0,1,1,1,1,1,4.5,0.648,0.0974,14.65,0.29000000000000004,20.5,86.75,4412.700000000001
5,1,1,0,1,1,1,0,1,7.5,0.733,0.175,18.55,0.3395,25.7,155.35,4930.9
4,1,1,0,1,1,0,0,0,9.5,0.8594999999999999,0.21350000000000002,26.35,0.389,7.5,189.65,2339.9
3,1,1,0,0,0,0,0,0,10.5,0.902,0.2525,10.75,0.14150000000000001,15.3,223.95,2858.1
2,0,0,0,0,0,0,0,0,5.5,0.775,0.2915,30.25,0.191,17.9,258.25,3376.3
1,0,0,0,0,0,0,0,0,8.5,0.817,0.3305,34.150000000000006,0.4385,23.1,292.54999999999995,3894.5
