,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,13,14,39,22,24,32,41,45,22.5,0.637,0.0026235,24.85,0.0601,1.198,17.434,469.7255
9,8,12,5,11,8,8,8,4,26.299999999999997,0.6795,0.05035,16.9105,0.08399999999999999,2.0,50.800000000000004,1419.35
8,7,11,3,7,5,5,2,2,30.1,0.5945,0.029150000000000002,40.650000000000006,0.1315,4.8,84.0,3309.1499999999996
7,6,5,2,5,5,4,1,1,14.881,0.9784999999999999,0.01855,88.05,0.274,2.8,316.4,8978.55
6,6,3,1,2,3,3,0,0,18.700000000000003,0.7224999999999999,0.00795,56.45,0.203,4.0,117.2,2364.25
5,6,2,1,2,2,0,0,0,49.1,0.808,0.013250000000000001,64.35,0.155,1.6,150.4,4254.05
4,2,2,1,2,2,0,0,0,37.7,0.8935,0.03975,72.25,0.22699999999999998,2.4000000000000004,183.6,5198.95
3,2,1,0,1,1,0,0,0,45.3,0.7655000000000001,0.02385,80.15,0.10794999999999999,3.2,216.8,6143.85
2,1,1,0,0,1,0,0,0,33.9,0.8505,0.03445,32.75,0.179,3.5999999999999996,250.0,7088.75
1,1,1,0,0,1,0,0,0,41.5,0.9359999999999999,0.04505,48.55,0.2505,4.4,283.20000000000005,8033.65
