name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
HAUPTMANN,0.0,5,0.36875,0.36875,5,0.00825934951003389,2.711864406779661,2.711864406779661,1,2,50,6,268,42.0,42.0,25.0,43.0,45.0,28.0,40.0,36.0,37.625,0.9232548692378657,44.0,20.0,43.0,41.0,42.0,46.0
VIERTER BÜRGER,0.04002345307137827,8,0.4041095890410959,0.4041095890410959,8,0.007959424588141188,2.4745762711864407,2.4745762711864407,2,6,334,44,1804,17.0,23.0,11.0,20.0,49.0,11.0,25.0,20.0,22.0,1.5044576621303962,23.0,42.0,34.0,20.0,27.0,27.0
ZWEITE FRAU,0.0,7,0.3259668508287293,0.3259668508287293,7,0.0013602935320908781,3.0677966101694913,3.0677966101694913,1,2,18,4,98,31.0,49.0,25.0,34.0,55.0,28.0,40.0,48.0,38.75,1.3721561500062593,48.0,31.0,39.0,49.0,44.0,48.0
ZWEITER BOTE,0.0,8,0.4041095890410959,0.4041095890410959,8,0.04718579642178101,2.4745762711864407,2.4745762711864407,1,2,54,8,328,17.0,23.0,25.0,20.0,23.0,28.0,40.0,34.0,26.25,0.94432042836559,32.0,22.0,28.0,40.0,34.0,35.0
VIELE STIMMEN,0.10089990858547256,14,0.41843971631205673,0.41843971631205673,14,0.010633922691876494,2.389830508474576,2.389830508474576,2,7,21,7,110,4.0,12.0,5.0,9.0,41.0,11.0,24.0,47.0,19.125,2.0738997728571995,16.0,56.0,10.0,31.0,20.5,16.0
EIN LANZKNECHT,0.0,5,0.3959731543624161,0.3959731543624161,8,0.07888660162479429,2.5254237288135593,2.5254237288135593,2,4,122,20,674,42.0,29.0,25.0,20.0,11.0,11.0,32.0,26.0,24.5,1.3110110602126894,30.0,29.0,35.0,26.0,30.5,31.0
LUDWIG,0.06829339567504383,8,0.45384615384615384,0.45384615384615384,14,0.16679876921009915,2.2033898305084745,2.2033898305084745,4,21,554,77,2999,17.0,6.0,8.0,9.0,7.0,9.0,13.0,17.0,10.75,0.5458855845583134,9.0,9.0,8.0,14.0,11.0,9.0
ERSTER LANZKNECHT,0.0,3,0.35542168674698793,0.35542168674698793,3,0.00877063766427417,2.8135593220338984,2.8135593220338984,1,1,14,2,69,49.0,46.0,25.0,49.0,43.0,28.0,55.0,52.0,43.375,1.3805690790912482,58.0,32.0,55.0,56.0,55.5,58.0
ERSTER BOTE,0.0,8,0.4041095890410959,0.4041095890410959,8,0.04718579642178101,2.4745762711864407,2.4745762711864407,1,2,138,18,782,17.0,23.0,25.0,20.0,23.0,28.0,40.0,25.0,25.125,0.8593952919682205,31.0,16.0,28.0,37.0,32.5,33.0
LEGAT,0.0,1,0.2388663967611336,0.2388663967611336,1,0.00012392149745447093,4.186440677966101,4.186440677966101,1,17,1097,149,6142,60.0,60.0,25.0,60.0,60.0,28.0,15.0,9.0,39.625,2.8165149913374457,52.0,60.0,60.0,17.0,38.5,39.0
DRITTER BÜRGER,0.07544133734957814,12,0.4154929577464789,0.4154929577464789,12,0.009256286976423613,2.406779661016949,2.406779661016949,2,6,160,20,860,7.0,13.0,6.0,17.0,42.0,11.0,25.0,24.0,18.125,1.4946892593923518,14.0,40.0,12.0,23.0,17.5,13.0
VIERTER BAUER,0.0,7,0.29064039408866993,0.29064039408866993,7,0.003161442788886855,3.440677966101695,3.440677966101695,1,2,11,2,54,31.0,58.0,25.0,34.0,52.0,28.0,40.0,55.0,40.375,1.621476261885182,54.0,47.0,49.0,53.0,51.0,55.0
EINIGE BAUERN,0.010130527956360795,9,0.39072847682119205,0.39072847682119205,14,0.012367011852331208,2.559322033898305,2.559322033898305,2,3,24,4,129,10.0,33.0,15.0,9.0,35.0,11.0,37.0,43.0,24.125,1.7695811399069232,29.0,53.0,21.0,35.0,28.0,29.0
HARTMUTH,0.0,3,0.3172043010752688,0.3172043010752688,3,0.01620740446688432,3.152542372881356,3.152542372881356,1,8,86,14,438,49.0,54.0,25.0,49.0,34.0,28.0,22.0,29.0,36.25,1.5637495003996005,42.0,45.0,54.0,28.0,41.0,43.0
ERSTER BAUER,0.010130527956360795,9,0.39072847682119205,0.39072847682119205,14,0.012367011852331208,2.559322033898305,2.559322033898305,2,5,94,13,492,10.0,33.0,15.0,9.0,35.0,11.0,30.0,27.0,21.25,1.383496476323666,19.0,33.0,21.0,25.0,23.0,20.0
EIN SÖLDNER,0.0,5,0.36875,0.36875,5,0.00825934951003389,2.711864406779661,2.711864406779661,1,2,8,2,36,42.0,42.0,25.0,43.0,45.0,28.0,40.0,57.0,40.25,1.2495534916806998,53.0,26.0,43.0,54.0,48.5,53.0
FROWIN,0.006041601102968722,9,0.4068965517241379,0.4068965517241379,11,0.06099872430956598,2.457627118644068,2.457627118644068,2,30,706,94,3610,10.0,15.0,22.0,18.0,14.0,11.0,9.0,16.0,14.375,0.5466517401417469,10.0,10.0,11.0,12.0,11.5,10.0
DIENER,0.0,3,0.3933333333333333,0.3933333333333333,3,0.05797380027517499,2.5423728813559325,2.5423728813559325,1,1,14,2,75,49.0,32.0,25.0,49.0,21.0,28.0,55.0,52.0,38.875,1.7131809125967152,49.0,50.0,38.0,56.0,47.0,52.0
RICHARD,0.20807145319126616,12,0.49166666666666664,0.49166666666666664,18,0.16811060186143365,2.0338983050847457,2.0338983050847457,5,35,1428,195,7932,7.0,5.0,3.0,8.0,6.0,6.0,8.0,8.0,6.375,0.2209708691207961,5.0,3.0,5.0,5.0,5.0,5.0
LANZKNECHT (SICKINGEN) 4.7,0.0,5,0.36875,0.36875,5,0.00825934951003389,2.711864406779661,2.711864406779661,1,2,28,4,176,42.0,42.0,25.0,43.0,45.0,28.0,40.0,41.0,38.25,0.9300297614285562,46.0,21.0,43.0,43.0,43.0,47.0
DRITTER BAUER,0.010130527956360795,9,0.39072847682119205,0.39072847682119205,14,0.012367011852331208,2.559322033898305,2.559322033898305,2,5,52,8,258,10.0,33.0,15.0,9.0,35.0,11.0,30.0,35.0,22.25,1.4981387261722936,24.0,41.0,21.0,27.0,24.0,22.0
FROWIN VON HUTTEN,0.0,5,0.3959731543624161,0.3959731543624161,5,0.04335661113990164,2.5254237288135593,2.5254237288135593,1,2,48,8,276,42.0,29.0,25.0,43.0,29.0,28.0,40.0,38.0,34.25,0.9007685210815422,39.0,18.0,36.0,42.0,39.0,41.0
REISIGER,0.0,8,0.4041095890410959,0.4041095890410959,8,0.04718579642178101,2.4745762711864407,2.4745762711864407,1,4,234,32,1330,17.0,23.0,25.0,20.0,23.0,28.0,32.0,21.0,23.625,0.5898603799689744,26.0,11.0,28.0,29.0,28.5,30.0
WIRT,0.010130527956360795,9,0.39072847682119205,0.39072847682119205,14,0.012367011852331208,2.559322033898305,2.559322033898305,2,9,90,18,463,10.0,33.0,15.0,9.0,35.0,11.0,20.0,28.0,20.125,1.3236136615342107,17.0,30.0,21.0,22.0,21.5,18.0
ARZT,0.0,4,0.3959731543624161,0.3959731543624161,4,0.05648936847185554,2.5254237288135593,2.5254237288135593,1,4,15,4,70,48.0,29.0,25.0,48.0,22.0,28.0,32.0,51.0,35.375,1.4607017332677565,40.0,38.0,37.0,45.0,41.0,43.0
RÜDESHEIM,0.0,8,0.4068965517241379,0.4068965517241379,8,0.06081733639919237,2.457627118644068,2.457627118644068,1,6,84,12,464,17.0,15.0,25.0,20.0,15.0,28.0,25.0,30.0,21.875,0.7393212983154598,22.0,12.0,13.0,32.0,22.5,19.0
FÜRSTENBERG,0.041354583464460734,19,0.44029850746268656,0.44029850746268656,27,0.1782112544353525,2.2711864406779663,2.2711864406779663,5,40,744,104,4044,2.0,10.0,10.0,4.0,5.0,6.0,5.0,14.0,7.0,0.49551560448255744,6.0,8.0,6.0,7.0,6.5,6.0
BALTHASAR,0.11277255765858922,16,0.5267857142857143,0.5267857142857143,33,0.4367417543156407,1.8983050847457628,1.8983050847457628,11,79,4692,642,25327,3.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,2.875,0.10431537004953502,2.0,2.0,2.0,4.0,3.0,3.0
TÜRKHEIM,0.0,8,0.4068965517241379,0.4068965517241379,8,0.06081733639919237,2.457627118644068,2.457627118644068,1,2,16,2,84,17.0,15.0,25.0,20.0,15.0,28.0,40.0,50.0,26.25,1.5920421521698835,32.0,46.0,13.0,50.0,31.5,32.0
EIN BAUER,0.0,7,0.29064039408866993,0.29064039408866993,7,0.003161442788886855,3.440677966101695,3.440677966101695,1,1,4,1,16,31.0,58.0,25.0,34.0,52.0,28.0,55.0,59.0,42.75,1.8172659016068224,57.0,54.0,49.0,59.0,54.0,57.0
KURT,0.0,8,0.4041095890410959,0.4041095890410959,8,0.04718579642178101,2.4745762711864407,2.4745762711864407,1,12,464,62,2234,17.0,23.0,25.0,20.0,23.0,28.0,17.0,19.0,21.5,0.49099025303098287,20.0,7.0,28.0,24.0,26.0,25.0
EIN KNAPPE,0.0,2,0.3881578947368421,0.3881578947368421,2,0.04111135845758751,2.576271186440678,2.576271186440678,1,1,18,2,92,53.0,40.0,25.0,53.0,30.0,28.0,55.0,48.0,41.5,1.5512092057488571,55.0,44.0,51.0,55.0,53.0,56.0
ERSTE FRAU,0.0,7,0.3259668508287293,0.3259668508287293,7,0.0013602935320908781,3.0677966101694913,3.0677966101694913,1,2,14,2,78,31.0,49.0,25.0,34.0,55.0,28.0,40.0,52.0,39.25,1.4419573750387256,51.0,37.0,39.0,51.0,45.0,50.0
DALBERG,0.0,8,0.4068965517241379,0.4068965517241379,8,0.06081733639919237,2.457627118644068,2.457627118644068,1,8,82,12,408,17.0,15.0,25.0,20.0,15.0,28.0,22.0,31.0,21.625,0.7498139650225628,21.0,13.0,13.0,29.0,21.0,17.0
DRITTE FRAU,0.0,7,0.3259668508287293,0.3259668508287293,7,0.0013602935320908781,3.0677966101694913,3.0677966101694913,1,2,26,4,142,31.0,49.0,25.0,34.0,55.0,28.0,40.0,42.0,38.0,1.3058932356273014,45.0,28.0,39.0,44.0,41.5,45.0
SCHWARZENBERG,0.0,8,0.4068965517241379,0.4068965517241379,8,0.06081733639919237,2.457627118644068,2.457627118644068,1,6,50,10,296,17.0,15.0,25.0,20.0,15.0,28.0,25.0,36.0,22.625,0.9135329280952524,25.0,19.0,13.0,34.0,23.5,21.0
ULRICH,0.27650871435208085,14,0.5175438596491229,0.5175438596491229,19,0.16202922119985147,1.9322033898305082,1.9322033898305082,9,114,7196,1010,40226,4.0,3.0,2.0,7.0,8.0,4.0,2.0,2.0,4.0,0.2912411862553588,3.0,4.0,3.0,2.0,2.5,2.0
EIN LANZKNECHT (10),0.0,8,0.4041095890410959,0.4041095890410959,8,0.04718579642178101,2.4745762711864407,2.4745762711864407,1,2,24,4,156,17.0,23.0,25.0,20.0,23.0,28.0,40.0,43.0,27.375,1.1667596689121544,35.0,25.0,28.0,45.0,36.5,37.0
KARL V,0.0,2,0.39072847682119205,0.39072847682119205,2,0.0262945670884949,2.559322033898305,2.559322033898305,2,29,1698,230,9380,53.0,33.0,25.0,53.0,32.0,11.0,10.0,6.0,27.875,2.3130428899426585,36.0,58.0,42.0,10.0,26.0,25.0
RITTER FRITZ SOMBREFF,0.032226867878533565,7,0.45384615384615384,0.45384615384615384,7,0.04385701121206224,2.2033898305084745,2.2033898305084745,2,9,173,22,878,31.0,6.0,13.0,34.0,28.0,11.0,20.0,23.0,20.75,1.260226028479472,18.0,27.0,33.0,18.0,25.5,23.0
CHORAL,0.0,5,0.36875,0.36875,5,0.00825934951003389,2.711864406779661,2.711864406779661,1,4,78,24,512,42.0,42.0,25.0,43.0,45.0,28.0,32.0,32.0,36.125,0.9669482092054953,41.0,23.0,43.0,36.0,39.5,42.0
RENNER,0.07101110461718294,6,0.44360902255639095,0.44360902255639095,7,0.07410772579492911,2.2542372881355934,2.2542372881355934,4,23,1782,245,9658,41.0,9.0,7.0,34.0,13.0,9.0,12.0,5.0,16.25,1.686011248056023,12.0,48.0,27.0,9.0,18.0,15.0
HAUPTMANN JÖRG,0.0019871420222092344,7,0.4068965517241379,0.4068965517241379,9,0.07713659874778368,2.457627118644068,2.457627118644068,2,12,978,58,5478,31.0,15.0,24.0,19.0,12.0,11.0,17.0,10.0,17.375,0.8987528561448755,13.0,17.0,20.0,13.0,16.5,12.0
FRANZ,0.4379134259467397,30,0.6145833333333334,0.6145833333333334,67,0.5694515150228721,1.6271186440677965,1.6271186440677965,22,271,15267,2106,83331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
EITELFRITZ,0.02248497654692862,14,0.427536231884058,0.427536231884058,23,0.15746012963883768,2.3389830508474576,2.3389830508474576,5,40,770,110,4148,4.0,11.0,14.0,5.0,9.0,6.0,5.0,13.0,8.375,0.4907060328896372,7.0,6.0,7.0,6.0,6.5,6.0
PHILIPP,0.009085005519838952,8,0.45384615384615384,0.45384615384615384,22,0.31063947732443586,2.2033898305084745,2.2033898305084745,6,29,899,127,4885,17.0,6.0,21.0,6.0,4.0,5.0,10.0,12.0,10.125,0.7718180647017793,8.0,14.0,9.0,10.0,9.5,8.0
MARIE,0.058606078316773794,11,0.5,0.5,30,0.41270293091790056,2.0,2.0,12,80,2986,417,15862,9.0,4.0,9.0,3.0,3.0,2.0,3.0,4.0,4.625,0.34678047296318665,4.0,5.0,4.0,3.0,3.5,4.0
OECOLAMPADIUS,0.0,2,0.37341772151898733,0.37341772151898733,2,0.023482782924031897,2.6779661016949152,2.6779661016949152,2,6,191,28,1068,53.0,41.0,25.0,53.0,33.0,11.0,25.0,22.0,32.875,1.887975933374152,37.0,55.0,52.0,21.0,36.5,37.0
ZWEITER LANDSKNECHT,0.0,3,0.35542168674698793,0.35542168674698793,3,0.00877063766427417,2.8135593220338984,2.8135593220338984,1,1,5,2,23,49.0,46.0,25.0,49.0,43.0,28.0,55.0,58.0,44.125,1.4857019444885784,60.0,39.0,55.0,58.0,56.5,59.0
ZWEITER BAUER,0.010130527956360795,9,0.39072847682119205,0.39072847682119205,14,0.012367011852331208,2.559322033898305,2.559322033898305,2,3,30,4,136,10.0,33.0,15.0,9.0,35.0,11.0,37.0,40.0,23.75,1.7018241263840566,27.0,49.0,21.0,33.0,27.0,27.0
GEHEIMSCHREIBER,0.0,2,0.3155080213903743,0.3155080213903743,2,0.007105473524368493,3.169491525423729,3.169491525423729,1,2,57,8,328,53.0,55.0,25.0,53.0,50.0,28.0,40.0,33.0,42.125,1.527190318151979,56.0,43.0,58.0,39.0,48.5,53.0
