name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
OFFICIER,0.0,1,0.4642857142857143,0.4642857142857143,1,0.04736320954853806,2.1538461538461537,2.1538461538461537,1,11,287,5,1598,11.0,9.0,8.0,11.0,9.0,9.0,8.0,9.0,9.25,0.1456205931276794,10.0,5.0,9.0,9.0,9.0,10.0
ALCIMNA,0.3333333333333333,8,0.7222222222222222,0.7222222222222222,16,0.4459790715726507,1.3846153846153846,1.3846153846153846,8,67,1735,58,9351,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0
ZWEYTE AUFWÆRTERIN,0.0,2,0.4482758620689655,0.4482758620689655,2,0.04153080843834376,2.230769230769231,2.230769230769231,1,11,265,4,1567,8.0,13.0,8.0,9.0,13.0,9.0,8.0,10.0,9.75,0.2651650429449553,11.0,12.0,13.0,10.0,11.5,12.0
ERSTE AUFWÆRTERIN,0.0,2,0.4482758620689655,0.4482758620689655,2,0.04153080843834376,2.230769230769231,2.230769230769231,1,10,233,8,1324,8.0,13.0,8.0,9.0,13.0,9.0,10.0,11.0,10.125,0.2538762001448738,13.0,10.0,13.0,11.0,12.0,14.0
MILON,0.0,2,0.5416666666666666,0.5416666666666666,4,0.17071212059934546,1.8461538461538463,1.8461538461538463,2,18,371,11,1956,8.0,6.0,8.0,7.0,6.0,7.0,4.0,7.0,6.625,0.1628087725786649,7.0,7.0,8.0,6.0,7.0,6.0
PYRHUS,0.01282051282051282,5,0.6190476190476191,0.6190476190476191,12,0.4417038043110778,1.6153846153846154,1.6153846153846154,6,32,756,16,4197,4.0,4.0,6.0,3.0,3.0,3.0,3.0,3.0,3.625,0.13258252147247765,3.0,3.0,4.0,3.0,3.5,3.0
JUNGER HERR,0.0,1,0.4642857142857143,0.4642857142857143,1,0.04736320954853806,2.1538461538461537,2.1538461538461537,1,15,442,9,2514,11.0,9.0,8.0,11.0,9.0,9.0,7.0,5.0,8.625,0.24944134008391058,9.0,9.0,9.0,7.0,8.0,9.0
ARATES,0.019230769230769232,5,0.6190476190476191,0.6190476190476191,11,0.4020277726403388,1.6153846153846154,1.6153846153846154,5,18,371,10,2152,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,4.375,0.13258252147247765,4.0,3.0,4.0,4.0,4.0,4.0
EVANDER,0.5833333333333333,10,0.8125,0.8125,21,0.5559791225199857,1.2307692307692308,1.2307692307692308,14,88,3077,77,16907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CHLOE,0.01282051282051282,4,0.5,0.5,6,0.15994743002532089,2.0,2.0,3,17,471,9,2592,6.0,8.0,6.0,6.0,7.0,5.0,6.0,4.0,6.0,0.1494035761667992,5.0,6.0,7.0,4.0,5.5,5.0
BEDIENTER,0.03205128205128205,6,0.65,0.65,8,0.23256649519100558,1.5384615384615383,1.5384615384615383,3,3,76,2,426,3.0,3.0,3.0,5.0,5.0,5.0,13.0,13.0,6.25,0.5334774730817734,6.0,14.0,3.0,12.0,7.5,8.0
LAMON,0.019230769230769232,4,0.5416666666666666,0.5416666666666666,4,0.11842976219419799,1.8461538461538463,1.8461538461538463,2,7,430,1,2353,6.0,6.0,4.0,7.0,8.0,7.0,11.0,6.0,6.875,0.2538762001448738,8.0,10.0,6.0,8.0,7.0,6.0
GELEHRTER,0.0,1,0.4642857142857143,0.4642857142857143,1,0.04736320954853806,2.1538461538461537,2.1538461538461537,1,7,104,5,614,11.0,9.0,8.0,11.0,9.0,9.0,11.0,12.0,10.0,0.1767766952966369,12.0,8.0,9.0,13.0,11.0,11.0
DER ANDRE VOM HOFE,0.0,1,0.4642857142857143,0.4642857142857143,1,0.04736320954853806,2.1538461538461537,2.1538461538461537,1,3,75,2,421,11.0,9.0,8.0,11.0,9.0,9.0,13.0,14.0,10.5,0.2672612419124244,14.0,13.0,9.0,14.0,11.5,12.0
