DIE MÄDCHEN;SCROP;1
DIE MÄDCHEN;RUTHWEN;1
DIE MÄDCHEN;EMMY;2
DIE MÄDCHEN;ALLGEMEINER CHOR;1
DIE MÄDCHEN;BLUNT;2
DIE MÄDCHEN;FRAU BLUNT;1
DIE MÄDCHEN;PERTH;2
DIE MÄDCHEN;GREEN;1
BLUNT;CHOR DER TRINKER;1
BLUNT;SCROP;3
BLUNT;RUTHWEN;1
BLUNT;EMMY;2
BLUNT;GADSHILL;2
BLUNT;CHOR DER TÄNZER;1
BLUNT;FRAU BLUNT;4
BLUNT;PERTH;3
BLUNT;ALLGEMEINER CHOR;4
BLUNT;GREEN;2
GADSHILL;CHOR DER TRINKER;1
GADSHILL;SCROP;3
GADSHILL;ALLGEMEINER CHOR;3
GADSHILL;PERTH;2
GADSHILL;FRAU BLUNT;1
GADSHILL;CHOR DER TÄNZER;1
GADSHILL;GREEN;2
CHOR DER JÄGER UND LANDLEUTE;MALWINA;1
CHOR DER JÄGER UND LANDLEUTE;ALLE LANDLEUTE;1
CHOR DER JÄGER UND LANDLEUTE;DAVENAUT;1
CHOR DER JÄGER UND LANDLEUTE;ALLGEMEINER CHOR;1
CHOR DER JÄGER UND LANDLEUTE;VIER PAAR LANDLEUTE;1
CHOR DER JÄGER UND LANDLEUTE;AUBRY;1
CHOR DER JÄGER UND LANDLEUTE;ALLE JÄGER;1
CHOR DER JÄGER UND LANDLEUTE;RUTHWEN;1
CHOR DER JÄGER UND LANDLEUTE;GEORGE;1
VAMPYRMEISTER;RUTHWEN;1
VAMPYRMEISTER;GEISTERCHOR;1
SCROP;CHOR DER TRINKER;1
SCROP;EMMY;1
SCROP;GREEN;3
SCROP;PERTH;3
SCROP;FRAU BLUNT;2
SCROP;CHOR DER TÄNZER;1
SCROP;ALLGEMEINER CHOR;4
EIN DIENER;BERKLEY;1
EIN DIENER;ALLGEMEINER CHOR;1
EIN DIENER;JANTHE;1
GEISTERCHOR;RUTHWEN;1
RUTHWENS;RUTHWEN;1
RUTHWENS;AUBRY;1
AUBRY;MALWINA;8
AUBRY;RUTHWEN;6
AUBRY;ALLGEMEINER CHOR;4
AUBRY;CHOR DER GÄSTE;1
AUBRY;DAVENAUT;6
AUBRY;HAUSHOFMEISTER;1
AUBRY;GEORGE;2
AUBRY;EMMY;1
FRAU BLUNT;CHOR DER TRINKER;1
FRAU BLUNT;EMMY;1
FRAU BLUNT;PERTH;2
FRAU BLUNT;GREEN;1
FRAU BLUNT;CHOR DER TÄNZER;1
FRAU BLUNT;ALLGEMEINER CHOR;3
BERKLEY;RUTHWEN;1
BERKLEY;ALLGEMEINER CHOR;2
BERKLEY;JANTHE;2
CHOR DER TRINKER;ALLGEMEINER CHOR;1
CHOR DER TRINKER;PERTH;1
CHOR DER TRINKER;CHOR DER TÄNZER;1
GREEN;EMMY;1
GREEN;PERTH;2
GREEN;ALLGEMEINER CHOR;3
PERTH;GEORGE;1
PERTH;RUTHWEN;1
PERTH;ALLGEMEINER CHOR;4
PERTH;CHOR DER TÄNZER;1
PERTH;EMMY;2
CHOR DER TÄNZER;ALLGEMEINER CHOR;1
HAUSHOFMEISTER;MALWINA;1
HAUSHOFMEISTER;DAVENAUT;1
HAUSHOFMEISTER;RUTHWEN;1
HAUSHOFMEISTER;ALLGEMEINER CHOR;1
ALLE LANDLEUTE;ALLE JÄGER;1
ALLE LANDLEUTE;VIER PAAR LANDLEUTE;1
ALLE LANDLEUTE;GEORGE;1
GEORGE;RUTHWEN;1
GEORGE;EMMY;3
GEORGE;VIER PAAR LANDLEUTE;1
GEORGE;DAVENAUT;1
GEORGE;ALLE JÄGER;1
GEORGE;ALLGEMEINER CHOR;1
MALWINA;RUTHWEN;4
MALWINA;ALLGEMEINER CHOR;4
MALWINA;DAVENAUT;6
MALWINA;CHOR DER GÄSTE;1
RUTHWEN;DAVENAUT;4
RUTHWEN;EMMY;4
RUTHWEN;ALLGEMEINER CHOR;5
RUTHWEN;JANTHE;2
VIER PAAR LANDLEUTE;ALLE JÄGER;1
JANTHE;ALLGEMEINER CHOR;2
DAVENAUT;CHOR DER GÄSTE;1
DAVENAUT;ALLGEMEINER CHOR;4
EMMY;ALLGEMEINER CHOR;1
