,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,16,10,25,16,16,17,26,27,20.25,0.9755,0.0037471500000000003,19.5,0.07250000000000001,1.2475,13.86,284.27849999999995
9,10,8,9,8,8,8,3,5,34.25,0.6795,0.0189,41.7,0.15300000000000002,1.75,42.0,861.4499999999999
8,8,8,2,6,5,5,2,2,27.25,0.729,0.011335000000000001,71.3,0.23349999999999999,2.75,70.0,1435.75
7,2,8,1,4,5,3,2,2,30.75,0.7785,0.07195,63.9,0.2605,3.75,98.0,5455.85
6,1,2,0,1,2,3,2,1,2.7325,0.8765000000000001,0.026500000000000003,4.663,0.20650000000000002,4.75,266.0,2010.05
5,0,1,0,1,1,1,1,0,6.25,0.5315000000000001,0.034100000000000005,49.099999999999994,0.01865,5.75,126.0,2584.35
4,0,0,0,1,0,0,1,0,9.75,0.581,0.041650000000000006,56.5,0.045649999999999996,2.25,182.0,3158.65
3,0,0,0,0,0,0,0,0,13.25,0.6305000000000001,0.0492,12.100000000000001,0.09945000000000001,3.25,154.0,3732.95
2,0,0,0,0,0,0,0,0,16.75,0.8275,0.0568,26.9,0.1265,4.25,210.0,4307.25
1,0,0,0,0,0,0,0,0,23.75,0.9259999999999999,0.0644,34.3,0.1795,5.25,238.0,4881.549999999999
