,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,5,5,7,4,3,2,4,3,6.75,0.8035,0.0045837,35.0,0.38749999999999996,2.9405,55.75,1684.5
9,3,3,3,2,2,2,2,2,8.75,0.982,0.08795,6.98,0.05655,10.55,12.1775,547.665
8,2,2,0,2,2,2,2,2,4.2475000000000005,0.661,0.01388,23.0,0.222,12.45,41.25,1117.5
7,0,0,0,1,2,1,1,1,4.75,0.6965,0.023149999999999997,39.0,0.346,8.65,128.25,2818.5
6,0,0,0,1,1,1,1,1,5.25,0.732,0.0324,43.0,0.4285,14.350000000000001,142.75,3952.5
5,0,0,0,0,0,1,0,1,5.75,0.768,0.04165,11.0,0.0982,18.15,26.75,5653.5
4,0,0,0,0,0,1,0,0,6.25,0.839,0.050949999999999995,15.0,0.1395,20.05,70.25,2251.5
3,0,0,0,0,0,0,0,0,7.25,0.875,0.0602,19.0,0.1805,4.85,84.75,3385.5
2,0,0,0,0,0,0,0,0,7.75,0.911,0.06945,27.0,0.26349999999999996,6.75,99.25,4519.5
1,0,0,0,0,0,0,0,0,8.25,0.9465,0.07869999999999999,31.0,0.3045,16.25,113.75,5086.5
