name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
CHOR,0.0060224089635854345,8,0.6538461538461539,0.6538461538461539,9,0.058238487093134526,1.5294117647058822,1.5294117647058822,3,7,187,28,995,9.0,9.0,12.0,11.0,12.0,13.0,14.0,12.0,11.5,0.22160131510697959,11.0,10.0,10.0,13.0,11.5,11.0
SPECHT,0.03285189075630252,11,0.7391304347826086,0.7391304347826086,35,0.25685106463499696,1.3529411764705883,1.3529411764705883,12,66,705,58,3905,4.0,4.0,6.0,7.0,7.0,8.0,7.0,7.0,6.25,0.18600595228571123,7.0,8.0,6.0,7.0,6.5,7.0
CHOR DER MÜHLKNECHTE,0.0,6,0.5862068965517241,0.5862068965517241,8,0.06662017303242508,1.7058823529411766,1.7058823529411766,2,3,21,4,114,12.0,12.0,16.0,12.0,11.0,16.0,16.0,16.0,13.875,0.28689766094749336,14.0,13.0,12.0,17.0,14.5,14.0
STEFFEL,0.005392156862745098,5,0.5483870967741935,0.5483870967741935,7,0.020950451951480903,1.823529411764706,1.823529411764706,3,8,85,8,493,13.0,15.0,13.0,13.0,16.0,13.0,13.0,14.0,13.75,0.1456205931276794,13.0,6.0,14.0,14.0,14.0,13.0
HEINRICH,0.040134803921568624,10,0.7083333333333334,0.7083333333333334,35,0.2603692910631479,1.4117647058823528,1.4117647058823528,19,92,932,79,5072,7.0,7.0,5.0,7.0,6.0,5.0,5.0,5.0,5.875,0.12387890112063936,6.0,4.0,7.0,5.0,6.0,6.0
JOHANN,0.021568627450980392,5,0.5862068965517241,0.5862068965517241,5,0.022397386512881434,1.7058823529411766,1.7058823529411766,4,14,376,7,2146,13.0,12.0,8.0,16.0,14.0,12.0,11.0,9.0,11.875,0.32346823094172855,12.0,18.0,12.0,11.0,11.5,11.0
EULENSPIEGEL,0.08212535014005602,13,0.8095238095238095,0.8095238095238095,71,0.4744591690990465,1.2352941176470589,1.2352941176470589,34,196,4008,174,21829,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0944911182523068,1.0,3.0,2.0,1.0,1.5,1.0
SEBASTIAN,0.005392156862745098,5,0.5483870967741935,0.5483870967741935,7,0.020950451951480903,1.823529411764706,1.823529411764706,3,3,12,3,58,13.0,15.0,13.0,13.0,16.0,13.0,16.0,17.0,14.5,0.21128856368212914,16.0,9.0,14.0,15.0,14.5,14.0
JAKOB,0.0,2,0.4722222222222222,0.4722222222222222,2,0.005920094028899539,2.1176470588235294,2.1176470588235294,1,1,5,1,31,18.0,18.0,16.0,18.0,18.0,18.0,18.0,18.0,17.75,0.08838834764831845,18.0,2.0,18.0,18.0,18.0,18.0
LENCHEN,0.013795518207282913,10,0.7083333333333334,0.7083333333333334,44,0.3281882709930636,1.4117647058823528,1.4117647058823528,15,33,345,25,1821,7.0,7.0,11.0,5.0,4.0,7.0,9.0,10.0,7.5,0.2988071523335984,8.0,16.0,8.0,9.0,8.5,8.0
DOROTHEA,0.0009191176470588235,7,0.6296296296296297,0.6296296296296297,18,0.13305819686505038,1.588235294117647,1.588235294117647,6,54,670,75,3346,11.0,10.0,15.0,9.0,9.0,9.0,8.0,8.0,9.875,0.28689766094749336,10.0,13.0,11.0,8.0,9.5,9.0
HANS,0.013918067226890755,4,0.5666666666666667,0.5666666666666667,4,0.021227664871681536,1.7647058823529411,1.7647058823529411,2,4,84,2,456,16.0,14.0,10.0,17.0,15.0,16.0,15.0,15.0,14.75,0.2651650429449553,17.0,12.0,16.0,15.0,15.5,17.0
CORDULA,0.054796918767507,11,0.7391304347826086,0.7391304347826086,45,0.32708823034349943,1.3529411764705883,1.3529411764705883,18,81,751,66,4043,4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,4.875,0.12387890112063936,5.0,4.0,4.0,6.0,5.0,5.0
NELKENSTEIN,0.17677696078431374,13,0.8095238095238095,0.8095238095238095,40,0.25021772737590464,1.2352941176470589,1.2352941176470589,21,130,1785,94,9773,2.0,2.0,1.0,6.0,8.0,4.0,4.0,4.0,3.875,0.28689766094749336,3.0,13.0,3.0,4.0,3.5,3.0
PEPPI,0.023223039215686275,8,0.6296296296296297,0.6296296296296297,14,0.08794086973616157,1.588235294117647,1.588235294117647,5,22,267,33,1420,9.0,10.0,7.0,10.0,10.0,10.0,10.0,11.0,9.625,0.1484668673956776,9.0,7.0,9.0,10.0,9.5,9.0
MEHLWURM,0.13605567226890755,14,0.85,0.85,69,0.4603313242782568,1.1764705882352942,1.1764705882352942,30,168,2689,120,14363,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.75,0.057863756235784464,2.0,1.0,1.0,2.0,1.5,1.0
NATZI,0.019380252100840337,11,0.7391304347826086,0.7391304347826086,51,0.3396315351276077,1.3529411764705883,1.3529411764705883,22,134,2356,173,12708,4.0,4.0,9.0,3.0,3.0,3.0,3.0,3.0,4.0,0.25877458475338283,4.0,11.0,5.0,3.0,4.0,4.0
FRIEDRICH,0.0,3,0.5151515151515151,0.5151515151515151,6,0.037854893974100016,1.9411764705882353,1.9411764705882353,5,9,112,6,632,17.0,17.0,16.0,15.0,13.0,10.0,12.0,13.0,14.125,0.31649235490653754,15.0,17.0,17.0,12.0,14.5,14.0
