,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,3,9,7,6,7,8,10,5.0,0.567,0.0087615,5.4155,0.029124999999999998,2.6334999999999997,10.6525,203.1485
9,3,3,4,2,3,3,2,3,7.4,0.642,0.02655,12.350000000000001,0.07619999999999999,5.949999999999999,30.25,605.45
8,3,3,1,2,3,2,2,1,11.0,0.7555000000000001,0.0442,33.05,0.26349999999999996,19.15,88.75,1005.75
7,3,2,1,2,2,2,2,1,13.4,0.6045,0.06185,46.849999999999994,0.3105,22.450000000000003,127.75,1806.35
6,2,2,1,2,2,1,1,1,2.5940000000000003,0.718,0.07955000000000001,67.55,0.45099999999999996,12.55,49.75,2206.65
5,2,2,1,1,1,1,1,1,9.8,0.793,0.1325,19.25,0.12279999999999999,15.85,69.25,2606.95
4,1,1,1,1,1,1,1,1,3.8000000000000003,0.491,0.16799999999999998,39.95,0.35750000000000004,29.049999999999997,166.75,3807.85
3,1,1,0,1,0,1,1,0,6.199999999999999,0.529,0.09720000000000001,53.75,0.16949999999999998,32.35,186.25,1406.0500000000002
2,0,1,0,0,0,0,0,0,8.6,0.831,0.11499999999999999,26.15,0.2165,9.25,108.25,3007.25
1,0,0,0,0,0,0,0,0,12.2,0.6799999999999999,0.15,60.65,0.40449999999999997,25.75,147.25,3407.55
