,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,3,8,4,4,5,5,4,5.95,0.692,0.017028,6.0,0.17149999999999999,1.7425,7.93,208.23700000000002
9,2,2,1,2,2,2,2,2,4.15,0.55,0.05165,1.99,0.0697,6.25,50.0,2685.8999999999996
8,2,2,1,1,2,1,1,1,7.75,0.6445000000000001,0.08595,4.0,0.374,3.25,36.0,622.9000000000001
7,1,2,1,1,1,1,1,1,1.4455,0.8345,0.32699999999999996,12.0,0.12065,4.75,64.0,1035.5
6,1,1,0,1,1,1,1,1,2.3499999999999996,0.787,0.1205,14.0,0.47550000000000003,9.25,92.0,1448.1
5,1,1,0,1,1,1,1,1,6.85,0.9764999999999999,0.155,16.0,0.526,15.25,134.0,1860.7
4,1,0,0,1,0,0,0,1,9.55,0.5974999999999999,0.1895,20.0,0.222,7.75,22.0,3923.7
3,0,0,0,0,0,0,0,0,3.25,0.7395,0.22399999999999998,8.0,0.27249999999999996,10.75,78.0,2273.3
2,0,0,0,0,0,0,0,0,5.05,0.8815,0.2585,10.0,0.3235,12.25,106.0,3098.5
1,0,0,0,0,0,0,0,0,8.649999999999999,0.929,0.29300000000000004,18.0,0.4245,13.75,120.0,3511.1000000000004
