,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,14,12,33,20,21,24,24,29,2.089,0.406,0.0237105,2.881,0.0250965,1.7425,7.9795,236.7785
9,11,10,2,6,5,6,6,4,4.300000000000001,0.34199999999999997,0.11995,6.699999999999999,0.07585,3.25,22.15,713.45
8,8,8,1,4,3,4,3,2,6.5,0.47,0.07189999999999999,10.5,0.1265,6.25,36.25,1662.0500000000002
7,2,3,1,4,3,2,3,1,10.9,0.0857,0.16799999999999998,14.3,0.1775,4.75,50.349999999999994,1187.75
6,1,2,1,2,2,1,1,1,8.7,0.534,0.45499999999999996,18.1,0.228,10.75,106.75,2136.35
5,1,1,0,1,2,1,1,1,13.1,0.278,0.216,29.5,0.48150000000000004,15.25,134.95,4507.85
4,1,1,0,1,1,0,0,0,21.9,0.598,0.264,37.1,0.27849999999999997,7.75,64.45,2610.65
3,0,1,0,0,1,0,0,0,15.299999999999999,0.6619999999999999,0.312,21.9,0.4305,9.25,78.55,3084.95
2,0,0,0,0,0,0,0,0,17.5,0.15,0.35950000000000004,25.700000000000003,0.3295,12.25,92.65,3559.25
1,0,0,0,0,0,0,0,0,19.700000000000003,0.214,0.40700000000000003,33.3,0.38,13.75,120.85,4033.55
