name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
CHOR,0.0303944203944204,13,0.7241379310344828,0.7241379310344828,27,0.3035934808259496,1.380952380952381,1.380952380952381,4,11,223,35,1122,2.0,2.0,5.0,6.0,6.0,9.0,12.0,12.0,6.75,0.4943881499966831,6.0,21.0,5.0,11.0,8.0,8.0
MINERVA,0.01388888888888889,10,0.6363636363636364,0.6363636363636364,11,0.12396369106484498,1.5714285714285714,1.5714285714285714,2,6,138,16,780,8.0,9.0,11.0,12.0,12.0,13.0,15.0,18.0,12.25,0.3994974521642338,12.0,19.0,12.0,15.0,13.5,13.0
PROSERPINA,0.0,2,0.4117647058823529,0.4117647058823529,2,0.011726334290304848,2.428571428571429,2.428571428571429,1,7,102,12,532,22.0,22.0,14.0,22.0,22.0,16.0,14.0,19.0,18.875,0.46018969303041607,22.0,20.0,22.0,16.0,19.0,21.0
GANYMED,0.0,4,0.4666666666666667,0.4666666666666667,6,0.06733430644039985,2.142857142857143,2.142857142857143,4,14,429,51,2392,21.0,21.0,14.0,16.0,15.0,9.0,10.0,9.0,14.375,0.6121445761769495,14.0,22.0,21.0,9.0,15.0,15.0
MARS,0.0,6,0.4883720930232558,0.4883720930232558,8,0.09585855076197135,2.047619047619048,2.047619047619048,2,5,156,17,803,15.0,20.0,14.0,13.0,13.0,13.0,16.0,16.0,15.0,0.2988071523335984,15.0,14.0,15.0,14.0,14.5,14.0
PROMETHEUS,0.0,6,0.5384615384615384,0.5384615384615384,6,0.015454522841335895,1.8571428571428572,1.8571428571428572,1,1,194,20,1048,15.0,15.0,14.0,16.0,17.0,16.0,19.0,14.0,15.75,0.20863074009907004,17.0,8.0,16.0,16.0,16.0,16.0
CERBERUS,0.01984126984126984,7,0.5675675675675675,0.5675675675675675,8,0.03348242565521914,1.761904761904762,1.761904761904762,2,18,401,46,2129,13.0,14.0,10.0,13.0,16.0,13.0,9.0,11.0,12.375,0.2829807855667943,13.0,12.0,13.0,11.0,12.0,12.0
MERKUR,0.02355699855699856,11,0.6774193548387096,0.6774193548387096,16,0.17672488481995224,1.4761904761904763,1.4761904761904763,4,13,402,46,2150,6.0,6.0,9.0,10.0,10.0,9.0,11.0,10.0,8.875,0.23563648607851156,9.0,9.0,9.0,10.0,9.5,10.0
PLUTO,0.07705627705627709,10,0.65625,0.65625,19,0.18076768126466836,1.5238095238095237,1.5238095238095237,6,27,678,74,3671,8.0,7.0,2.0,8.0,9.0,6.0,5.0,7.0,6.5,0.27548658250966984,5.0,11.0,6.0,6.0,6.0,5.0
DANAIDEN,0.0,6,0.5384615384615384,0.5384615384615384,6,0.015454522841335895,1.8571428571428572,1.8571428571428572,1,3,146,16,799,15.0,15.0,14.0,16.0,17.0,16.0,17.0,17.0,15.875,0.1407489533074504,19.0,4.0,16.0,19.0,17.5,18.0
CHOR DER VERDAMMTEN,0.0,6,0.5384615384615384,0.5384615384615384,6,0.015454522841335895,1.8571428571428572,1.8571428571428572,1,1,23,6,146,15.0,15.0,14.0,16.0,17.0,16.0,19.0,22.0,16.75,0.3256175451573298,21.0,15.0,16.0,22.0,19.0,21.0
JUNO,0.0303944203944204,13,0.7241379310344828,0.7241379310344828,33,0.3700033100213262,1.380952380952381,1.380952380952381,7,42,1271,165,6458,2.0,2.0,5.0,4.0,3.0,4.0,3.0,3.0,3.25,0.12938729237669142,4.0,3.0,4.0,3.0,3.5,3.0
JUPITER,0.04560606060606061,13,0.7241379310344828,0.7241379310344828,39,0.3988045399690002,1.380952380952381,1.380952380952381,13,107,3545,401,18408,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.75,0.08838834764831845,1.0,1.0,1.0,1.0,1.0,1.0
ORPHEUS,0.3952092352092352,18,0.875,0.875,35,0.309686371051621,1.1428571428571428,1.1428571428571428,9,101,3997,464,21280,1.0,1.0,1.0,3.0,5.0,2.0,2.0,1.0,2.0,0.1767766952966369,2.0,7.0,2.0,2.0,2.0,2.0
SISIPHUS,0.0,6,0.5384615384615384,0.5384615384615384,6,0.015454522841335895,1.8571428571428572,1.8571428571428572,1,1,91,8,468,15.0,15.0,14.0,16.0,17.0,16.0,19.0,20.0,16.5,0.25877458475338283,20.0,10.0,16.0,20.0,18.0,20.0
VULKAN,0.00767195767195767,10,0.6363636363636364,0.6363636363636364,18,0.20475924508257873,1.5714285714285714,1.5714285714285714,5,10,201,22,1022,8.0,9.0,12.0,9.0,8.0,8.0,13.0,13.0,10.0,0.2834733547569204,11.0,13.0,10.0,13.0,11.5,11.0
VENUS,0.0303944203944204,13,0.7241379310344828,0.7241379310344828,38,0.41009121055370074,1.380952380952381,1.380952380952381,8,32,1124,129,5904,2.0,2.0,5.0,2.0,1.0,3.0,4.0,4.0,2.875,0.1695253352325672,3.0,6.0,3.0,4.0,3.5,3.0
AMOR,0.00767195767195767,10,0.6363636363636364,0.6363636363636364,28,0.3412980495478807,1.5714285714285714,1.5714285714285714,7,21,797,136,4133,8.0,9.0,12.0,5.0,4.0,4.0,7.0,5.0,6.75,0.35197148829333974,6.0,16.0,8.0,5.0,6.5,6.0
APOLLO,0.02632275132275132,11,0.65625,0.65625,24,0.2674218696170782,1.5238095238095237,1.5238095238095237,6,20,525,62,2797,6.0,7.0,8.0,7.0,7.0,6.0,8.0,8.0,7.125,0.10431537004953502,8.0,2.0,7.0,8.0,7.5,7.0
EURIDICE,0.03484848484848486,8,0.6176470588235294,0.6176470588235294,13,0.1265231388941763,1.619047619047619,1.619047619047619,4,26,795,84,4027,12.0,12.0,4.0,11.0,11.0,9.0,6.0,6.0,8.875,0.3920954466526158,9.0,18.0,11.0,7.0,9.0,9.0
DIE DREY FURIEN,0.0,7,0.6,0.6,7,0.08011599389620404,1.6666666666666667,1.6666666666666667,1,1,49,10,226,13.0,13.0,14.0,15.0,14.0,16.0,19.0,21.0,15.625,0.36558111763523643,16.0,17.0,14.0,21.0,17.5,18.0
TANTALUS,0.0,6,0.5384615384615384,0.5384615384615384,6,0.015454522841335895,1.8571428571428572,1.8571428571428572,1,2,166,16,867,15.0,15.0,14.0,16.0,17.0,16.0,18.0,15.0,15.75,0.16021748611541392,17.0,5.0,16.0,16.0,16.0,16.0
