name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
CHOR,0.014444444444444446,8,0.6666666666666666,0.6666666666666666,12,0.19517492984569754,1.5,1.5,3,11,263,58,1478,7.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,7.375,0.06469364618834571,7.0,2.0,8.0,8.0,8.0,8.0
VIER BEWAFFNETE,0.0,4,0.5714285714285714,0.5714285714285714,4,0.0585709407891482,1.75,1.75,1,1,3,1,18,16.0,16.0,11.0,16.0,17.0,11.0,13.0,16.0,14.5,0.30618621784789724,17.0,15.0,17.0,16.0,16.5,17.0
FREUNDE DES KADI,0.0,6,0.6153846153846154,0.6153846153846154,6,0.06400586460226766,1.625,1.625,1,2,46,8,242,11.0,11.0,11.0,11.0,14.0,11.0,10.0,9.0,11.0,0.1767766952966369,11.0,10.0,11.0,9.0,10.0,11.0
MUEZZIN,0.0,5,0.5925925925925926,0.5925925925925926,5,0.06523431738452509,1.6875,1.6875,1,0,0,0,0,14.0,14.0,11.0,14.0,13.0,11.0,17.0,17.0,13.875,0.28689766094749336,15.0,14.0,15.0,17.0,16.0,16.0
STIMME EINES SKLAVEN,0.0,3,0.5517241379310345,0.5517241379310345,3,0.0674331744640995,1.8125,1.8125,1,1,6,1,29,17.0,17.0,11.0,17.0,12.0,11.0,13.0,15.0,14.125,0.33698704404938606,16.0,16.0,16.0,15.0,15.5,15.0
NUREDDIN,0.04166666666666666,10,0.7272727272727273,0.7272727272727273,27,0.464207935250923,1.375,1.375,13,105,2005,338,10837,4.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.875,0.15580293184477811,2.0,8.0,4.0,2.0,3.0,2.0
STIMMEN,0.0,5,0.5925925925925926,0.5925925925925926,5,0.09397545160287712,1.6875,1.6875,1,1,7,1,39,14.0,14.0,11.0,14.0,11.0,11.0,13.0,14.0,12.75,0.18600595228571123,14.0,11.0,14.0,14.0,14.0,14.0
DER KALIF,0.00625,7,0.64,0.64,10,0.16385128975002036,1.5625,1.5625,2,25,629,73,3443,10.0,10.0,10.0,9.0,8.0,8.0,6.0,5.0,8.25,0.23857837885513192,9.0,13.0,10.0,7.0,8.5,9.0
KADI,0.13430555555555557,14,0.8888888888888888,0.8888888888888888,22,0.2843651057971772,1.125,1.125,5,44,765,77,4191,2.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,3.25,0.1456205931276794,3.0,6.0,2.0,4.0,3.0,2.0
MARGIANA,0.0576388888888889,11,0.7619047619047619,0.7619047619047619,22,0.3535272954148948,1.3125,1.3125,5,28,568,82,2836,3.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,3.875,0.1407489533074504,5.0,5.0,3.0,5.0,4.0,4.0
BOSTANA,0.02847222222222222,10,0.7272727272727273,0.7272727272727273,22,0.3702881023541912,1.375,1.375,7,50,979,137,5083,4.0,4.0,6.0,3.0,3.0,3.0,3.0,3.0,3.625,0.13258252147247765,4.0,3.0,5.0,3.0,4.0,4.0
DER KADI,0.048749999999999995,10,0.7272727272727273,0.7272727272727273,11,0.1232768522171415,1.375,1.375,2,2,18,2,80,4.0,4.0,4.0,8.0,10.0,8.0,10.0,12.0,7.5,0.39528470752104744,8.0,17.0,6.0,9.0,7.5,7.0
BEWOHNER BAGDADS,0.0,6,0.6153846153846154,0.6153846153846154,6,0.06400586460226766,1.625,1.625,1,1,21,4,118,11.0,11.0,11.0,11.0,14.0,11.0,13.0,11.0,11.625,0.1484668673956776,13.0,7.0,11.0,13.0,12.0,13.0
DRITTER MUEZZIN,0.011666666666666665,8,0.6666666666666666,0.6666666666666666,10,0.15186359336736469,1.5,1.5,2,4,15,4,85,7.0,7.0,9.0,9.0,9.0,8.0,9.0,13.0,8.875,0.23563648607851156,10.0,12.0,9.0,9.0,9.0,10.0
DIENER NUREDDINS,0.01972222222222222,8,0.6666666666666666,0.6666666666666666,13,0.21465670856083638,1.5,1.5,5,20,381,112,2212,7.0,7.0,7.0,6.0,6.0,4.0,7.0,7.0,6.375,0.13258252147247765,6.0,3.0,7.0,6.0,6.5,6.0
ABUL,0.20374999999999996,15,0.9411764705882353,0.9411764705882353,36,0.508841798595712,1.0625,1.0625,14,122,2500,476,14137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
KLAGEFRAUEN,0.0,6,0.6153846153846154,0.6153846153846154,6,0.06400586460226766,1.625,1.625,1,2,33,6,165,11.0,11.0,11.0,11.0,14.0,11.0,10.0,10.0,11.125,0.15580293184477811,12.0,8.0,11.0,12.0,11.5,12.0
