,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,5,11,7,7,10,10,9,6.0,0.6105,0.010098000000000001,4.6335,0.08105,1.6435,6.039,123.75
9,3,4,3,4,2,3,2,2,8.4,0.6495,0.0509,11.25,0.17149999999999999,5.550000000000001,30.5,375.0
8,3,3,1,3,2,2,1,2,9.6,0.727,0.03055,21.15,0.2165,13.35,18.299999999999997,625.0
7,2,2,1,1,2,1,1,2,3.5940000000000003,0.571,0.1325,14.55,0.35150000000000003,2.95,42.7,875.0
6,2,1,1,1,2,1,1,1,4.800000000000001,0.7655000000000001,0.1935,27.75,0.48650000000000004,6.85,54.9,2125.0
5,2,1,0,1,1,0,1,1,14.4,0.8825000000000001,0.0713,34.35,0.1265,4.25,103.69999999999999,2375.0
4,1,1,0,0,1,0,1,0,7.199999999999999,0.9215,0.09175,7.949999999999999,0.3065,8.15,115.9,1125.0
3,1,0,0,0,0,0,0,0,10.8,0.6885,0.11199999999999999,17.85,0.26149999999999995,9.45,67.1,1375.0
2,0,0,0,0,0,0,0,0,12.0,0.8045,0.153,24.450000000000003,0.39649999999999996,10.75,79.30000000000001,1625.0
1,0,0,0,0,0,0,0,0,13.2,0.8434999999999999,0.173,31.05,0.4415,12.05,91.5,1875.0
