,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,3,3,3,2,2,2,1,3.95,0.99,0.0528,4.1485,0.39949999999999997,2.2475,50.3,951.2784999999999
9,2,2,2,1,1,1,1,1,3.0495,0.81,0.0027522,5.050000000000001,0.378,2.75,19.683,1126.4499999999998
8,0,0,0,1,1,1,1,1,3.1500000000000004,0.83,0.00833,6.85,0.4625,4.75,23.1,1649.35
7,0,0,0,0,1,1,1,1,3.25,0.85,0.0139,4.449999999999999,0.5675,6.75,40.099999999999994,1823.65
6,0,0,0,0,0,0,0,1,3.3499999999999996,0.87,0.019450000000000002,4.75,0.4205,3.25,26.5,2520.85
5,0,0,0,0,0,0,0,0,3.45,0.89,0.025,5.35,0.4415,3.75,29.9,1300.75
4,0,0,0,0,0,0,0,0,3.55,0.91,0.03055,5.65,0.4835,4.25,33.3,1475.0500000000002
3,0,0,0,0,0,0,0,0,3.6500000000000004,0.9299999999999999,0.0361,5.949999999999999,0.5045,5.25,36.7,1997.9499999999998
2,0,0,0,0,0,0,0,0,3.75,0.95,0.04165,6.25,0.5255000000000001,5.75,43.5,2172.25
1,0,0,0,0,0,0,0,0,3.8499999999999996,0.97,0.047200000000000006,6.550000000000001,0.5465,6.25,46.900000000000006,2346.55
