name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
HAUPTMANN,0.040178571428571425,29,0.7101449275362319,0.7101449275362319,35,0.14471823795470656,1.4081632653061225,1.4081632653061225,3,18,473,13,2520,8.0,8.0,4.0,8.0,8.0,3.0,7.0,8.0,6.75,0.25660906898571273,6.0,7.0,8.0,6.0,7.0,6.0
ZWEITER BÜRGER 3. AKT,0.0,26,0.6805555555555556,0.6805555555555556,26,0.14027739807828252,1.4693877551020407,1.4693877551020407,1,2,98,1,546,10.0,10.0,11.0,11.0,10.0,11.0,40.0,26.0,16.125,1.3846052493142482,24.0,30.0,10.0,34.0,22.0,25.0
ZWEITER PRIESTER,0.0,20,0.6282051282051282,0.6282051282051282,20,0.10046902933984382,1.5918367346938775,1.5918367346938775,1,5,41,5,231,31.0,31.0,11.0,31.0,32.0,11.0,24.0,36.0,25.875,1.2182347812071601,35.0,26.0,32.0,30.0,31.0,35.0
DER EINE BÜRGER,0.0,26,0.6805555555555556,0.6805555555555556,26,0.14027739807828252,1.4693877551020407,1.4693877551020407,1,3,50,2,267,10.0,10.0,11.0,11.0,10.0,11.0,32.0,34.0,16.125,1.304931408980126,24.0,29.0,10.0,34.0,22.0,25.0
EIN WEIB,0.0,20,0.6282051282051282,0.6282051282051282,20,0.10046902933984382,1.5918367346938775,1.5918367346938775,1,1,26,0,138,31.0,31.0,11.0,31.0,32.0,11.0,45.0,41.0,29.125,1.5446299545291007,41.0,33.0,32.0,45.0,38.5,44.0
EIN KRIEGER,0.0,9,0.550561797752809,0.550561797752809,9,0.02507591551366638,1.816326530612245,1.816326530612245,1,4,76,3,401,42.0,42.0,11.0,42.0,45.0,11.0,27.0,28.0,31.0,1.7576363999091833,45.0,38.0,42.0,27.0,34.5,40.0
EINER DER HAUPTLEUTE,0.0,6,0.532608695652174,0.532608695652174,6,0.028111188263419153,1.8775510204081631,1.8775510204081631,1,8,134,7,719,48.0,48.0,11.0,48.0,42.0,11.0,11.0,21.0,30.0,2.255944528193394,43.0,50.0,48.0,16.0,32.0,38.0
MIRZA,0.0703656462585034,43,0.8909090909090909,0.8909090909090909,54,0.2682809745891311,1.1224489795918369,1.1224489795918369,4,72,1063,57,5721,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,0.0944911182523068,2.0,4.0,2.0,2.0,2.0,2.0
KÄMMERER,0.0,20,0.6282051282051282,0.6282051282051282,20,0.10046902933984383,1.5918367346938775,1.5918367346938775,1,7,176,4,968,31.0,31.0,11.0,31.0,31.0,11.0,17.0,18.0,22.625,1.1610061446250588,32.0,23.0,31.0,19.0,25.0,27.0
EPHRAIM,0.03401360544217687,40,0.8448275862068966,0.8448275862068966,48,0.24960759210044473,1.183673469387755,1.183673469387755,3,26,942,13,4872,4.0,4.0,6.0,4.0,4.0,3.0,4.0,5.0,4.25,0.11080065755348979,4.0,6.0,4.0,4.0,4.0,4.0
DRITER BÜRGER 5. AKT,0.0,20,0.6282051282051282,0.6282051282051282,20,0.10046902933984382,1.5918367346938775,1.5918367346938775,1,1,14,1,91,31.0,31.0,11.0,31.0,32.0,11.0,45.0,46.0,29.75,1.6430997491674952,42.0,34.0,32.0,47.0,39.5,45.0
HOSEA,0.0,26,0.6805555555555556,0.6805555555555556,26,0.14027739807828252,1.4693877551020407,1.4693877551020407,1,5,146,1,833,10.0,10.0,11.0,11.0,10.0,11.0,24.0,20.0,13.375,0.6811803699671413,20.0,16.0,10.0,25.0,17.5,18.0
JUDITH,0.0703656462585034,43,0.8909090909090909,0.8909090909090909,54,0.2682809745891311,1.1224489795918369,1.1224489795918369,4,163,8110,71,43476,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.5,0.0668153104781061,1.0,2.0,2.0,1.0,1.5,1.0
ACHIOR,0.15773809523809523,46,0.9423076923076923,0.9423076923076923,55,0.25036008141061594,1.0612244897959184,1.0612244897959184,3,17,1021,6,5372,1.0,1.0,1.0,1.0,3.0,3.0,8.0,4.0,2.75,0.30435822409034485,3.0,8.0,1.0,5.0,3.0,3.0
DER ÄLTESTE,0.0,26,0.6805555555555556,0.6805555555555556,26,0.14027739807828252,1.4693877551020407,1.4693877551020407,1,14,430,7,2240,10.0,10.0,11.0,11.0,10.0,11.0,9.0,9.0,10.125,0.10431537004953502,9.0,5.0,10.0,8.0,9.0,8.0
