,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,9,9,9,8,7,16,17,18,21.05,0.872,0.0029155500000000003,15.25,0.04655,2.089,21.107,277.379
9,6,7,8,4,6,3,3,2,13.45,0.661,0.02065,30.25,0.13,8.7,59.900000000000006,824.3000000000001
8,6,4,4,3,5,2,3,2,17.25,0.788,0.0265,37.75,0.08825,13.1,137.1,1912.7
7,2,3,3,3,2,2,1,1,7.75,0.7455,0.008845,45.25,0.29600000000000004,21.9,98.5,1368.5
6,1,2,1,2,2,1,1,1,3.9405,0.4925,0.04415,22.75,0.3375,4.300000000000001,252.89999999999998,2456.9
5,1,1,1,2,1,1,1,1,11.55,0.535,0.05595,52.75,0.17149999999999999,6.5,368.7,4089.5
4,1,0,0,1,1,1,0,1,19.15,0.577,0.01475,7.7125,0.2545,15.299999999999999,175.7,5177.9
3,0,0,0,1,1,0,0,0,5.85,0.619,0.03235,60.25,0.379,10.9,214.3,3001.1
2,0,0,0,1,1,0,0,0,9.649999999999999,0.7030000000000001,0.03825,67.75,0.4205,17.5,291.5,3545.3
1,0,0,0,1,0,0,0,0,15.350000000000001,0.8300000000000001,0.05005,75.25,0.21300000000000002,19.700000000000003,330.1,4633.700000000001
