,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,4,8,5,5,5,5,6,3.3499999999999996,0.5415000000000001,0.011979,4.2275,0.032850000000000004,1.6435,8.4845,147.3135
9,3,3,1,3,4,2,3,3,7.8500000000000005,0.7424999999999999,0.03635,40.25,0.40800000000000003,10.75,60.95,950.55
8,3,3,1,2,1,2,1,1,8.75,0.783,0.0606,44.75,0.2,12.05,21.65,415.95000000000005
7,1,1,1,1,1,1,1,1,2.4455,0.5820000000000001,0.08485000000000001,22.25,0.2415,5.550000000000001,34.75,1217.85
6,1,1,1,1,1,1,1,1,4.25,0.702,0.109,26.75,0.3245,6.85,74.05,1752.4499999999998
5,1,1,1,1,1,1,1,1,6.95,0.903,0.22999999999999998,31.25,0.366,8.15,100.25,2554.35
4,1,0,0,0,0,1,1,0,10.55,0.622,0.133,8.75,0.07475000000000001,13.35,126.45,683.25
3,0,0,0,0,0,0,0,0,5.15,0.662,0.1575,13.25,0.11630000000000001,2.95,47.849999999999994,1485.15
2,0,0,0,0,0,0,0,0,6.05,0.823,0.182,17.75,0.158,4.25,87.15,2019.75
1,0,0,0,0,0,0,0,0,9.649999999999999,0.863,0.20600000000000002,35.75,0.28300000000000003,9.45,113.35,2287.05
