,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,8,8,16,6,7,6,8,9,7.25,0.6485000000000001,0.0167805,4.475,0.02763,1.9405,11.0485,206.554
9,3,6,1,5,4,3,5,4,8.75,0.6955,0.15300000000000002,49.5,0.40149999999999997,13.350000000000001,31.450000000000003,617.8
8,3,1,1,2,2,2,2,2,10.25,0.5545,0.322,9.5,0.06935,3.8499999999999996,173.55,2663.8
7,1,1,0,2,1,2,2,1,2.7425,0.6014999999999999,0.0509,19.5,0.11105000000000001,5.75,193.85,1027.0
6,1,1,0,1,1,1,1,1,5.75,0.8355,0.08495,14.5,0.1525,7.65,72.05,1845.4
5,1,1,0,1,1,1,0,1,13.25,0.9764999999999999,0.119,34.5,0.277,11.45,51.75,3891.4
4,1,0,0,1,1,1,0,0,16.25,0.7424999999999999,0.187,44.5,0.3185,15.25,92.35,1436.1999999999998
3,0,0,0,0,1,1,0,0,4.25,0.789,0.22099999999999997,24.5,0.36,17.15,112.65,2254.6
2,0,0,0,0,0,1,0,0,11.75,0.8825000000000001,0.255,29.5,0.194,19.05,132.95,3073.0
1,0,0,0,0,0,0,0,0,14.75,0.9295,0.2885,39.5,0.2355,9.55,153.25,3482.2
