name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
SCHÖPSEN,0.0,4,0.44593088071348935,0.5128205128205128,4,0.0810478493671987,2.2425,1.9500000000000002,1,4,53,4,273,13.0,12.0,13.0,14.0,15.0,15.0,19.0,20.0,15.125,0.3625153937618177,15.0,16.0,14.0,20.0,17.0,17.0
JUNGFER KNICKS,0.0,2,0.08695652173913043,1.0,2,5.923722562810219e-18,11.5,1.0,1,4,218,1,1157,18.0,22.0,13.0,19.0,22.0,15.0,19.0,19.0,18.375,0.38923861117388064,22.0,17.0,21.0,19.0,20.0,21.0
MAJOR,0.10656469134730004,11,0.5997001499250375,0.6896551724137931,25,0.480497902495202,1.6675,1.45,11,58,3097,21,16610,2.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,2.75,0.12938729237669142,2.0,5.0,2.0,3.0,2.5,2.0
BOLLWERK,0.0026350461133069825,5,0.3700277520814061,0.425531914893617,7,0.08804804165867057,2.7025,2.35,2,13,654,2,3339,9.0,17.0,12.0,9.0,12.0,11.0,12.0,10.0,11.5,0.32043497223082784,10.0,10.0,12.0,11.0,11.5,10.0
FRITZ,0.11920012354794965,10,0.5434782608695652,0.625,23,0.34637745791811786,1.84,1.6,11,92,1960,65,10646,3.0,3.0,2.0,3.0,4.0,3.0,2.0,5.0,3.125,0.12387890112063936,3.0,4.0,3.0,2.0,2.5,2.0
REHAAR,0.0,2,0.34782608695652173,0.4,5,0.09608758194946121,2.875,2.5,3,16,1343,3,7329,18.0,19.0,13.0,13.0,11.0,9.0,10.0,7.0,12.5,0.5261042808091513,13.0,23.0,15.0,8.0,11.5,10.0
GRAF WERMUTH,0.023310747223790704,7,0.4830917874396135,0.5555555555555556,10,0.15908562655130654,2.0700000000000003,1.7999999999999998,4,19,385,11,2167,6.0,7.0,8.0,8.0,7.0,8.0,9.0,15.0,8.5,0.3471825374147068,8.0,12.0,7.0,10.0,8.5,8.0
MARTHE,0.0,2,0.3780718336483932,0.43478260869565216,2,0.033608195986871384,2.645,2.3000000000000003,2,9,394,1,2171,18.0,16.0,13.0,19.0,18.0,11.0,14.0,14.0,15.375,0.35315857931368044,16.0,14.0,19.0,14.0,16.5,16.0
GUSTCHEN,0.05697008305703959,7,0.5270092226613966,0.6060606060606061,16,0.3501912631377544,1.8975,1.65,9,41,995,22,5259,6.0,4.0,6.0,6.0,3.0,5.0,7.0,8.0,5.625,0.1997487260821169,6.0,8.0,5.0,7.0,6.0,6.0
WENZESLAUS,0.027274416404851187,6,0.4700352526439483,0.5405405405405406,11,0.15212553370091655,2.1275,1.8499999999999999,6,53,4555,11,24624,8.0,8.0,7.0,7.0,8.0,7.0,6.0,1.0,6.5,0.2912411862553588,7.0,9.0,8.0,5.0,6.5,7.0
