name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
CHOR,0.2,7,0.7692307692307693,0.7692307692307693,7,0.11788233064400377,1.2999999999999998,1.2999999999999998,2,1,36,6,197,6.0,6.0,2.0,7.0,7.0,7.0,10.0,9.0,6.75,0.2969337347913552,7.0,11.0,6.0,10.0,8.0,7.0
OSMIN,0.02666666666666667,8,0.8333333333333334,0.8333333333333334,18,0.35893307638379324,1.2,1.2,7,119,2028,168,10200,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.75,0.08838834764831845,3.0,5.0,3.0,3.0,3.0,3.0
BLONDE,0.02666666666666667,8,0.8333333333333334,0.8333333333333334,18,0.34428214370709254,1.2,1.2,6,51,1243,81,6942,2.0,2.0,3.0,4.0,5.0,4.0,5.0,5.0,3.75,0.16021748611541392,5.0,7.0,5.0,5.0,5.0,5.0
KONSTANZE,0.02666666666666667,8,0.8333333333333334,0.8333333333333334,19,0.35867035102675604,1.2,1.2,6,75,1395,105,7428,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.25,0.11080065755348979,4.0,6.0,3.0,4.0,3.5,4.0
EINE ODER ZWO STIMMEN,0.0,1,0.45454545454545453,0.45454545454545453,1,0.006038341374518083,2.2,2.2,1,2,48,16,284,10.0,11.0,7.0,10.0,11.0,8.0,8.0,8.0,9.125,0.1940809385650371,11.0,9.0,11.0,8.0,9.5,10.0
EINER VON DER WACHE,0.0,6,0.6666666666666666,0.6666666666666666,6,0.11387342885251271,1.5,1.5,1,2,36,6,202,7.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0,7.875,0.08010874305770696,8.0,3.0,8.0,9.0,8.5,8.0
BELMONTE,0.02666666666666667,8,0.8333333333333334,0.8333333333333334,26,0.5112827869610506,1.2,1.2,13,122,1646,145,8761,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.125,0.08010874305770696,2.0,3.0,2.0,2.0,2.0,2.0
KLAAS,0.0,1,0.5,0.5,1,0.027457492380727786,2.0,2.0,1,3,56,2,263,10.0,10.0,7.0,10.0,10.0,8.0,7.0,7.0,8.625,0.18824257716346443,10.0,8.0,10.0,7.0,8.5,8.0
WACHE,0.0,6,0.6666666666666666,0.6666666666666666,6,0.11387342885251271,1.5,1.5,1,0,0,0,0,7.0,8.0,7.0,8.0,8.0,8.0,11.0,11.0,8.5,0.2004459314343183,9.0,10.0,8.0,11.0,9.5,10.0
SELIM,0.0,6,0.7142857142857143,0.7142857142857143,9,0.18609813751845622,1.4,1.4,3,30,495,22,2736,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.375,0.06469364618834571,6.0,2.0,7.0,6.0,6.5,6.0
PEDRILLO,0.22666666666666666,9,0.9090909090909091,0.9090909090909091,29,0.5360306815250873,1.1,1.1,15,122,3203,159,17500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
