name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
EILER,0.0,8,0.9,0.9,17,0.284141669156103,1.1111111111111112,1.1111111111111112,4,54,1256,40,6329,6.0,6.0,6.0,4.0,4.0,3.0,2.0,3.0,4.25,0.19764235376052372,5.0,3.0,6.0,2.0,4.0,4.0
MADAME HERZ,0.022222222222222223,9,1.0,1.0,16,0.24418642122449224,1.0,1.0,3,10,185,34,950,1.0,1.0,1.0,6.0,6.0,5.0,9.0,9.0,4.75,0.4265203897320067,6.0,10.0,5.0,9.0,7.0,7.0
FRANK,0.022222222222222223,9,1.0,1.0,35,0.507824412919367,1.0,1.0,10,43,619,32,3509,1.0,1.0,1.0,1.0,1.0,1.0,4.0,7.0,2.125,0.27900892842856684,2.0,9.0,1.0,4.0,2.5,2.0
MADAME PFEIL,0.0,8,0.9,0.9,15,0.24394119999621272,1.1111111111111112,1.1111111111111112,3,54,829,42,4143,6.0,6.0,6.0,7.0,7.0,5.0,2.0,5.0,5.5,0.2004459314343183,7.0,4.0,7.0,4.0,5.5,6.0
MONSIEUR VOGELSANG,0.0,8,0.9,0.9,13,0.19465205667438013,1.1111111111111112,1.1111111111111112,2,5,98,18,519,6.0,6.0,6.0,9.0,9.0,10.0,10.0,10.0,8.25,0.23857837885513192,10.0,6.0,9.0,10.0,9.5,10.0
HERZ,0.0,5,0.6923076923076923,0.6923076923076923,10,0.18629054869628572,1.4444444444444444,1.4444444444444444,3,34,689,22,3601,10.0,10.0,6.0,10.0,10.0,5.0,7.0,6.0,8.0,0.27548658250966984,9.0,8.0,10.0,7.0,8.5,9.0
MADEMOISELLE SILBERKLANG,0.0,8,0.9,0.9,15,0.2365091310806671,1.1111111111111112,1.1111111111111112,3,17,346,44,1834,6.0,6.0,6.0,7.0,8.0,5.0,8.0,8.0,6.75,0.1456205931276794,8.0,2.0,8.0,8.0,8.0,8.0
PUF,0.022222222222222223,9,1.0,1.0,35,0.507824412919367,1.0,1.0,10,72,1639,57,8740,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
MADAME VOGELSANG,0.022222222222222223,9,1.0,1.0,17,0.25655063411645307,1.0,1.0,3,41,1060,23,5451,1.0,1.0,1.0,4.0,5.0,5.0,5.0,4.0,3.25,0.23857837885513192,4.0,6.0,4.0,6.0,5.0,5.0
MADAME KRONE,0.022222222222222223,9,1.0,1.0,19,0.300015894775846,1.0,1.0,4,39,1295,18,7116,1.0,1.0,1.0,3.0,3.0,3.0,6.0,2.0,2.5,0.21128856368212914,3.0,5.0,3.0,3.0,3.0,3.0
