,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,5,6,10,6,6,9,9,10,10.0,0.642,0.005197500000000001,18.950000000000003,0.10200000000000001,2.0,23.2355,443.6685
9,5,5,6,5,6,8,7,6,13.2,0.726,0.01575,11.55,0.20550000000000002,1.198,66.35,1344.4499999999998
8,2,2,3,3,3,3,3,3,6.792,0.6,0.026250000000000002,7.8315,0.1365,2.8,109.25,2240.75
7,2,2,1,3,3,2,1,2,11.600000000000001,0.6839999999999999,0.036750000000000005,15.25,0.27449999999999997,4.0,195.05,7618.549999999999
6,2,2,1,2,2,1,1,1,16.4,0.768,0.04725,26.35,0.06760000000000001,4.8,237.95,3137.05
5,2,2,1,1,2,0,1,1,18.0,0.853,0.06825,30.049999999999997,0.3775,1.6,280.85,8514.85
4,2,2,1,1,1,0,1,0,19.6,0.937,0.09975,33.75,0.309,2.4000000000000004,409.55,4033.35
3,1,1,0,1,0,0,0,0,8.399999999999999,0.8105,0.057749999999999996,37.45,0.17099999999999999,3.2,152.14999999999998,4929.65
2,1,1,0,1,0,0,0,0,14.8,0.979,0.07875,41.15,0.24,3.5999999999999996,323.75,5825.950000000001
1,1,0,0,0,0,0,0,0,21.2,0.895,0.08925,22.65,0.34299999999999997,4.4,366.65,6722.25
