name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
HAUPTMANN,0.008714596949891067,3,0.5142857142857142,0.5142857142857142,4,0.028987727236094083,1.9444444444444446,1.9444444444444446,2,2,47,6,233,17.0,9.0,10.0,17.0,11.0,15.0,15.0,17.0,13.875,0.4195953620538993,16.0,16.0,14.0,16.0,15.0,16.0
AGA,0.0,2,0.3829787234042553,0.3829787234042553,2,0.00017728680777091528,2.611111111111111,2.611111111111111,1,1,15,2,74,18.0,18.0,13.0,18.0,18.0,16.0,17.0,18.0,17.0,0.22160131510697959,19.0,4.0,18.0,18.0,18.0,19.0
PAPRUTOWITSCH,0.013071895424836602,8,0.5294117647058824,0.5294117647058824,43,0.3370207998779998,1.8888888888888888,1.8888888888888888,11,18,434,63,2448,5.0,8.0,8.0,5.0,5.0,7.0,10.0,12.0,7.5,0.32043497223082784,9.0,12.0,7.0,10.0,8.5,9.0
ZRINY,0.21971677559912858,11,0.6666666666666666,0.6666666666666666,70,0.48319570139747253,1.5,1.5,22,104,5379,725,29040,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.375,0.13258252147247765,1.0,1.0,1.0,1.0,1.0,1.0
HELENE,0.026252723311546843,9,0.5454545454545454,0.5454545454545454,53,0.40783632690100124,1.8333333333333335,1.8333333333333335,17,68,2161,293,11423,2.0,5.0,6.0,3.0,3.0,2.0,2.0,3.0,3.25,0.18600595228571123,2.0,2.0,3.0,2.0,2.5,2.0
DIE MÄNNER,0.0,5,0.45,0.45,5,0.042818850269859085,2.2222222222222223,2.2222222222222223,1,1,7,1,44,10.0,13.0,13.0,15.0,9.0,16.0,17.0,19.0,14.0,0.4278267339539621,17.0,18.0,11.0,19.0,15.0,16.0
DER BEGLER BEG,0.0016339869281045752,5,0.46153846153846156,0.46153846153846156,9,0.0016892339809857194,2.1666666666666665,2.1666666666666665,3,9,190,28,1129,10.0,11.0,11.0,14.0,17.0,14.0,14.0,15.0,13.25,0.2969337347913552,14.0,11.0,13.0,14.0,13.5,13.0
VILACKY,0.2542483660130719,8,0.6428571428571429,0.6428571428571429,21,0.15821430791304428,1.5555555555555554,1.5555555555555554,6,23,1051,143,5804,5.0,2.0,3.0,9.0,7.0,11.0,8.0,7.0,6.5,0.3779644730092272,7.0,15.0,5.0,8.0,6.5,7.0
MUSTAFA,0.0016339869281045752,5,0.46153846153846156,0.46153846153846156,19,0.003526211655727095,2.1666666666666665,2.1666666666666665,7,12,291,43,1601,10.0,11.0,11.0,10.0,14.0,9.0,13.0,14.0,11.5,0.24090602791485788,10.0,7.0,10.0,13.0,11.5,10.0
EVA,0.026252723311546843,9,0.5454545454545454,0.5454545454545454,54,0.4168402693431641,1.8333333333333335,1.8333333333333335,16,68,2085,292,11303,2.0,5.0,6.0,2.0,2.0,3.0,2.0,4.0,3.25,0.19764235376052372,2.0,3.0,2.0,3.0,2.5,2.0
ALI,0.0,4,0.45,0.45,18,0.0033553930841620063,2.2222222222222223,2.2222222222222223,7,22,631,89,3432,14.0,13.0,13.0,11.0,15.0,9.0,9.0,10.0,11.75,0.28931878117892235,11.0,10.0,16.0,9.0,12.5,11.0
LEVI,0.0,4,0.45,0.45,12,0.002582417361221277,2.2222222222222223,2.2222222222222223,6,15,781,110,4323,14.0,13.0,13.0,12.0,16.0,11.0,11.0,9.0,12.375,0.2667387365408867,12.0,9.0,17.0,11.0,14.0,15.0
MEHMED,0.276797385620915,8,0.6428571428571429,0.6428571428571429,33,0.017114942709144338,1.5555555555555554,1.5555555555555554,14,51,1540,218,8494,5.0,2.0,1.0,7.0,12.0,4.0,5.0,6.0,5.25,0.42125450400305176,5.0,17.0,6.0,5.0,5.5,5.0
ALAPI,0.034858387799564274,9,0.5454545454545454,0.5454545454545454,53,0.40264292013877867,1.8333333333333335,1.8333333333333335,14,31,1043,151,5809,2.0,5.0,5.0,3.0,4.0,4.0,7.0,8.0,4.75,0.24775780224127872,4.0,8.0,3.0,7.0,5.0,4.0
SCHERENK,0.0,4,0.43902439024390244,0.43902439024390244,11,0.09912336140821167,2.2777777777777777,2.2777777777777777,5,15,580,79,3049,14.0,17.0,13.0,13.0,8.0,13.0,11.0,11.0,12.5,0.32732683535398854,13.0,13.0,15.0,12.0,13.5,13.0
