,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,3,4,4,4,4,4,5,4.0,0.6910000000000001,0.0070785,3.5940000000000003,0.16449999999999998,1.198,2.4354999999999998,59.7975
9,2,2,2,2,2,2,1,1,6.8,0.982,0.136,14.4,0.527,4.8,5.35,150.75
8,1,1,1,1,1,1,1,1,3.198,0.6545000000000001,0.035750000000000004,8.4,0.28500000000000003,2.0,11.149999999999999,331.75
7,1,1,1,1,1,1,1,1,4.8,0.7635000000000001,0.06425,10.8,0.487,4.0,14.05,874.75
6,1,1,0,0,0,0,1,0,6.0,0.873,0.02145,4.800000000000001,0.20500000000000002,1.6,28.55,241.25
5,0,0,0,0,0,0,0,0,3.5999999999999996,0.727,0.05,6.0,0.245,2.4000000000000004,8.25,422.25
4,0,0,0,0,0,0,0,0,4.4,0.8,0.07855000000000001,7.199999999999999,0.3255,2.8,16.95,512.75
3,0,0,0,0,0,0,0,0,5.2,0.8365,0.09285,9.6,0.366,3.2,19.85,603.25
2,0,0,0,0,0,0,0,0,5.6,0.909,0.10700000000000001,12.0,0.406,3.5999999999999996,22.75,693.75
1,0,0,0,0,0,0,0,0,6.4,0.9455,0.1215,13.2,0.4465,4.4,25.65,784.25
