,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,18,18,18,10,10,10,8,13,16.9985,0.9999,-0.0001,17.3465,0.1955,1.0495,17.246,370.16200000000003
9,0,0,0,8,8,8,7,3,16.9845,0.9991,-0.0009,23.65,0.27749999999999997,1.95,48.2,1101.4
8,0,0,0,0,0,0,1,1,16.988,0.9993,-0.0007,18.049999999999997,0.20450000000000002,1.15,140.6,3284.2
7,0,0,0,0,0,0,1,1,16.9915,0.9995,-0.0005,18.75,0.2135,1.25,202.2,6922.2
6,0,0,0,0,0,0,1,0,16.994999999999997,0.9997,-0.00030000000000000003,19.450000000000003,0.2225,1.35,294.6,1829.0
5,0,0,0,0,0,0,0,0,17.0015,1.0001,0.0001,20.15,0.23149999999999998,1.45,79.0,2556.6000000000004
4,0,0,0,0,0,0,0,0,17.005000000000003,1.0003,0.00030000000000000003,20.85,0.2405,1.55,109.80000000000001,4011.8
3,0,0,0,0,0,0,0,0,17.0085,1.0005,0.0005,21.549999999999997,0.2495,1.65,171.4,4739.4
2,0,0,0,0,0,0,0,0,17.012,1.0007,0.0007,22.25,0.259,1.75,233.0,5467.0
1,0,0,0,0,0,0,0,0,17.0155,1.0009,0.0009,22.950000000000003,0.2685,1.85,263.8,6194.6
