,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,8,5,10,6,4,9,11,13,14.5,0.8029999999999999,0.00375705,35.05,0.050749999999999997,2.3365,11.692,402.95
9,3,5,3,4,4,2,3,4,4.6930000000000005,0.847,0.019,7.4155,0.16899999999999998,5.050000000000001,76.6,1217.0
8,3,3,2,3,3,2,2,1,17.3,0.5840000000000001,0.011395,28.15,0.20850000000000002,7.75,33.400000000000006,3647.0
7,2,2,2,2,3,2,1,1,13.100000000000001,0.8905000000000001,0.0493,48.849999999999994,0.32599999999999996,13.15,55.0,7697.0
6,2,2,1,2,2,2,1,0,15.9,0.9339999999999999,0.02655,69.55,0.40449999999999997,21.25,141.39999999999998,2027.0
5,1,1,1,1,1,1,1,0,10.3,0.6719999999999999,0.0721,14.350000000000001,0.09029999999999999,10.45,206.2,2837.0
4,0,1,0,1,1,1,0,0,6.1,0.978,0.034100000000000005,55.75,0.1295,26.65,98.2,4457.0
3,0,0,0,0,1,0,0,0,7.5,0.628,0.0417,21.25,0.2475,15.85,119.8,5267.0
2,0,0,0,0,0,0,0,0,8.899999999999999,0.716,0.0569,41.95,0.2865,18.549999999999997,163.0,6077.0
1,0,0,0,0,0,0,0,0,11.7,0.7595000000000001,0.0645,62.65,0.3655,23.950000000000003,184.60000000000002,6887.0
