,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,6,6,10,4,4,8,10,10,9.5,0.74,0.0041233500000000005,5.99,0.1245,1.1485,16.0975,359.24150000000003
9,3,3,3,4,4,5,3,2,6.5,0.66,0.07915,10.0,0.1865,2.05,77.25,1084.5500000000002
8,3,3,1,3,2,2,1,1,14.5,0.98,0.012515,12.0,0.2485,3.85,46.75,1806.25
7,1,1,1,2,2,1,1,1,5.495,0.62,0.029150000000000002,24.0,0.27949999999999997,2.95,138.25,2527.95
6,1,1,1,1,2,0,1,1,8.5,0.7,0.0625,14.0,0.403,1.4500000000000002,290.75,3249.65
5,1,1,0,1,1,0,0,1,11.5,0.8200000000000001,0.02085,16.0,0.21750000000000003,1.75,107.75,6858.15
4,1,1,0,1,1,0,0,0,13.5,0.94,0.037500000000000006,22.0,0.3725,2.35,168.75,3971.35
3,0,0,0,0,0,0,0,0,7.5,0.78,0.04585,8.0,0.15550000000000003,2.65,199.25,4693.049999999999
2,0,0,0,0,0,0,0,0,10.5,0.86,0.054150000000000004,18.0,0.3105,3.25,229.75,5414.75
1,0,0,0,0,0,0,0,0,12.5,0.9,0.07085,20.0,0.3415,3.55,260.25,6136.450000000001
