,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,2,2,6,2,2,2,3,3,3.7,0.5615,0.020443500000000003,2.485,0.052450000000000004,1.792,10.306000000000001,277.3585
9,1,2,1,1,1,2,1,2,1.2970000000000002,0.7,0.14450000000000002,5.5,0.10555,14.600000000000001,66.8,2513.35
8,1,1,1,1,1,1,1,1,1.9000000000000001,0.654,0.392,14.5,0.3165,3.4000000000000004,123.19999999999999,1396.75
7,1,1,0,1,1,1,1,1,3.0999999999999996,0.792,0.061900000000000004,17.5,0.36950000000000005,6.6,142.0,3071.65
6,1,1,0,1,1,1,1,1,4.9,0.885,0.10325000000000001,20.5,0.4225,8.2,160.8,5304.85
5,1,1,0,1,1,1,1,0,6.1,0.977,0.1855,23.5,0.475,16.2,179.6,838.4499999999999
4,1,0,0,1,1,0,0,0,6.7,0.608,0.22699999999999998,29.5,0.5275000000000001,5.0,29.200000000000003,1955.05
3,0,0,0,0,0,0,0,0,2.5,0.746,0.26849999999999996,8.5,0.1585,9.8,48.0,3629.95
2,0,0,0,0,0,0,0,0,4.3,0.8385,0.3095,11.5,0.211,11.399999999999999,85.6,4188.25
1,0,0,0,0,0,0,0,0,5.5,0.931,0.35050000000000003,26.5,0.26349999999999996,13.0,104.4,4746.549999999999
