name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
MARIE,0.05494505494505495,11,0.8235294117647058,0.8235294117647058,32,0.22411016636251369,1.2142857142857144,1.2142857142857144,8,12,108,11,578,3.0,3.0,3.0,6.0,7.0,6.0,15.0,15.0,7.25,0.6294484547148059,7.0,15.0,4.0,13.0,8.5,9.0
HARTL,0.0,2,0.5384615384615384,0.5384615384615384,2,0.022062321473793153,1.8571428571428572,1.8571428571428572,1,22,247,16,1506,15.0,15.0,13.0,15.0,15.0,15.0,14.0,14.0,14.5,0.0944911182523068,15.0,3.0,15.0,15.0,15.0,15.0
GRUBER,0.0052328623757195184,8,0.7,0.7,22,0.1010558418670733,1.4285714285714286,1.4285714285714286,4,48,347,46,1674,6.0,6.0,8.0,9.0,9.0,9.0,10.0,11.0,8.5,0.22160131510697959,10.0,9.0,8.0,10.0,9.0,10.0
FRAU BÜRGERMEISTER,0.049450549450549455,9,0.7368421052631579,0.7368421052631579,54,0.4363794831524142,1.3571428571428572,1.3571428571428572,20,193,1929,172,10320,5.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,0.1767766952966369,2.0,6.0,3.0,2.0,2.5,2.0
MAJOR,0.01098901098901099,8,0.7,0.7,49,0.4143769415398682,1.4285714285714286,1.4285714285714286,20,185,1913,162,10582,6.0,6.0,6.0,3.0,3.0,2.0,3.0,3.0,4.0,0.21128856368212914,3.0,8.0,6.0,3.0,4.5,5.0
KIERMAYER,0.0052328623757195184,8,0.7,0.7,22,0.1010558418670733,1.4285714285714286,1.4285714285714286,4,83,825,71,4208,6.0,6.0,8.0,9.0,9.0,9.0,6.0,7.0,7.5,0.1767766952966369,8.0,6.0,8.0,7.0,7.5,6.0
FRIEDA,0.0,4,0.5833333333333334,0.5833333333333334,9,0.091636022364494,1.7142857142857142,1.7142857142857142,3,40,655,27,3455,14.0,14.0,13.0,14.0,11.0,11.0,12.0,8.0,12.125,0.2625212576426635,13.0,12.0,14.0,11.0,12.5,13.0
STELZER,0.07116692830978547,12,0.875,0.875,44,0.27030369230077744,1.1428571428571428,1.1428571428571428,8,79,1143,57,6756,2.0,2.0,2.0,4.0,5.0,6.0,7.0,5.0,4.125,0.24492619150616435,4.0,11.0,2.0,6.0,4.0,3.0
SCHWEIGEL,0.038199895342752484,10,0.7777777777777778,0.7777777777777778,38,0.31621158379396086,1.2857142857142856,1.2857142857142856,11,111,1693,85,8782,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.25,0.057863756235784464,5.0,2.0,4.0,4.0,4.0,3.0
SUSCHEN,0.01098901098901099,8,0.7,0.7,31,0.26335770180997375,1.4285714285714286,1.4285714285714286,9,47,348,46,1779,6.0,6.0,6.0,7.0,6.0,5.0,11.0,10.0,7.125,0.2708905617192512,6.0,13.0,7.0,8.0,7.5,6.0
HEITZINGER,0.003663003663003663,7,0.6666666666666666,0.6666666666666666,11,0.05660909001887909,1.5,1.5,2,25,266,20,1500,10.0,10.0,10.0,13.0,14.0,14.0,13.0,13.0,12.125,0.22596519169363863,13.0,10.0,13.0,14.0,13.5,14.0
BERINGER,0.0,7,0.6666666666666666,0.6666666666666666,23,0.20333187832381686,1.5,1.5,8,101,1072,86,6039,10.0,10.0,13.0,8.0,8.0,6.0,5.0,6.0,8.25,0.3324019726604694,9.0,14.0,10.0,5.0,7.5,6.0
BÜRGERMEISTER,0.2305075876504448,14,1.0,1.0,77,0.510390768872961,1.0,1.0,29,332,3765,286,20954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
GSCHWENDTNER,0.0015698587127158557,7,0.6666666666666666,0.6666666666666666,17,0.07373109146214728,1.5,1.5,3,59,416,56,2180,10.0,10.0,11.0,11.0,12.0,11.0,8.0,9.0,10.25,0.16021748611541392,11.0,5.0,11.0,9.0,10.0,11.0
LINDLACHER,0.0015698587127158557,7,0.6666666666666666,0.6666666666666666,17,0.07373109146214728,1.5,1.5,3,57,324,57,1513,10.0,10.0,11.0,11.0,12.0,11.0,9.0,12.0,10.75,0.12938729237669142,12.0,4.0,11.0,12.0,11.5,12.0
