segment;change_rate
1;0.8333333333333334
2;1.0
3;0.6666666666666666
4;0.8333333333333334
5;0.9166666666666666
6;1.0
7;0.42857142857142855
8;1.0
9;1.0
10;0.4
11;0.8
12;0.3333333333333333
13;0.5714285714285714
14;1.0
15;0.75
16;0.7777777777777778
17;0.5
18;1.0
19;0.6666666666666666
20;0.5
21;0.75
22;0.75
23;1.0
24;0.75
25;1.0
26;0.8
27;0.6666666666666666
28;0.75
29;0.875
30;0.75
31;0.5714285714285714
32;0.5714285714285714
33;0.8571428571428571
34;1.0
35;0.7777777777777778
