,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,10,9,28,14,15,21,25,26,2.1385,0.4535,0.008712000000000001,4.168,0.020443500000000003,1.891,11.791,211.32549999999998
9,6,7,2,5,5,3,3,2,6.75,0.5955,0.16699999999999998,10.600000000000001,0.061950000000000005,5.5,33.7,638.3499999999999
8,4,5,1,4,3,3,1,2,11.35,0.38249999999999995,0.0616,17.0,0.39249999999999996,14.5,77.30000000000001,2337.95
7,4,5,1,2,2,2,1,1,15.950000000000001,0.5245,0.097,29.8,0.1033,3.6999999999999997,99.1,1488.15
6,3,3,1,2,2,2,1,1,9.05,0.0979,0.11449999999999999,36.2,0.14450000000000002,7.3,120.9,1913.05
5,2,2,0,2,2,1,1,1,18.25,0.6665,0.0264,49.0,0.26849999999999996,9.1,142.7,4037.55
4,1,2,0,2,1,1,1,0,4.449999999999999,0.7375,0.044,61.8,0.186,18.1,208.1,1063.25
3,1,0,0,1,1,0,0,0,13.65,0.16949999999999998,0.07919999999999999,23.4,0.22749999999999998,10.9,55.5,2762.8500000000004
2,1,0,0,1,1,0,0,0,20.549999999999997,0.2405,0.132,55.400000000000006,0.3095,12.7,164.5,3187.75
1,1,0,0,0,1,0,0,0,22.85,0.3115,0.1495,42.599999999999994,0.351,16.3,186.3,3612.6499999999996
