,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,4,10,6,6,6,11,9,2.5445,0.5814999999999999,0.008811,6.2275,0.12029999999999999,2.386,27.334500000000002,414.122
9,3,3,2,5,5,6,3,2,4.75,0.5115000000000001,0.0267,10.75,0.0645,5.199999999999999,113.75,1153.4
8,3,3,2,3,2,2,1,2,8.05,0.6515,0.0623,15.25,0.176,8.0,70.65,1889.0
7,3,2,2,1,1,2,1,2,10.25,0.687,0.098,19.75,0.23149999999999998,10.8,156.85000000000002,3360.2
6,2,2,2,1,1,1,1,1,3.6500000000000004,0.7224999999999999,0.16899999999999998,24.25,0.28700000000000003,13.6,199.95,2624.6000000000004
5,2,2,0,1,1,1,1,1,12.45,0.7925,0.0445,28.75,0.39849999999999997,27.6,415.45,4095.8
4,1,1,0,1,1,0,0,1,5.85,0.47650000000000003,0.0801,46.75,0.45399999999999996,16.4,243.05,7038.2
3,1,1,0,0,1,0,0,0,9.149999999999999,0.5465,0.11599999999999999,33.25,0.565,19.200000000000003,286.15,4831.4
2,0,0,0,0,0,0,0,0,6.95,0.6165,0.1335,37.75,0.34299999999999997,22.0,329.25,5567.0
1,0,0,0,0,0,0,0,0,11.350000000000001,0.7575000000000001,0.151,42.25,0.5095000000000001,24.799999999999997,372.35,6302.6
