name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
JOSEPH,0.0,2,0.41025641025641024,0.41025641025641024,2,0.0012625572306120508,2.4375,2.4375,1,3,40,3,191,16.0,16.0,14.0,16.0,16.0,15.0,13.0,12.0,14.75,0.19764235376052372,15.0,9.0,16.0,13.0,14.5,15.0
JUSTITIÄR,0.0027777777777777775,7,0.5925925925925926,0.5925925925925926,33,0.3036321815859907,1.6875,1.6875,8,32,493,23,3227,8.0,10.0,10.0,7.0,7.0,9.0,8.0,8.0,8.375,0.1484668673956776,9.0,5.0,10.0,8.0,9.0,9.0
SPORNER,0.01,8,0.6153846153846154,0.6153846153846154,39,0.3525500514064947,1.625,1.625,10,16,84,15,502,5.0,8.0,8.0,6.0,4.0,7.0,10.0,10.0,7.25,0.273453443412742,8.0,15.0,6.0,9.0,7.5,8.0
DIE HERREN,0.0,5,0.5333333333333333,0.5333333333333333,8,0.07090905757103592,1.875,1.875,3,6,33,6,183,14.0,14.0,14.0,14.0,10.0,11.0,12.0,13.0,12.75,0.19764235376052372,14.0,9.0,14.0,12.0,13.0,13.0
MADAME SCHLEIER,0.02875,8,0.6666666666666666,0.6666666666666666,25,0.2118489842981137,1.5,1.5,11,75,988,55,5338,5.0,5.0,6.0,8.0,8.0,6.0,6.0,5.0,6.125,0.15580293184477811,6.0,6.0,7.0,6.0,6.5,6.0
CHRISTIAN,0.0,2,0.41025641025641024,0.41025641025641024,2,0.0012625572306120508,2.4375,2.4375,1,2,28,2,132,16.0,16.0,14.0,16.0,16.0,15.0,14.0,14.0,15.125,0.12387890112063936,17.0,4.0,16.0,15.0,15.5,16.0
GLUTHAMMER,0.015277777777777777,7,0.64,0.64,15,0.11178776385549374,1.5625,1.5625,10,102,1828,67,10048,8.0,6.0,7.0,9.0,9.0,7.0,4.0,4.0,6.75,0.24775780224127872,7.0,13.0,8.0,5.0,6.5,6.0
ERSTER KNECHT,0.002361111111111111,6,0.5714285714285714,0.5714285714285714,10,0.04745569243512358,1.75,1.75,2,9,54,9,315,11.0,11.0,11.0,10.0,12.0,12.0,11.0,11.0,11.125,0.08010874305770696,11.0,1.0,11.0,11.0,11.0,11.0
DRITTER KNECHT,0.002361111111111111,6,0.5714285714285714,0.5714285714285714,10,0.04745569243512358,1.75,1.75,2,1,6,1,28,11.0,11.0,11.0,10.0,12.0,12.0,15.0,15.0,12.125,0.23563648607851156,12.0,12.0,11.0,14.0,12.5,12.0
WIXER,0.01,8,0.6153846153846154,0.6153846153846154,46,0.39620902394026025,1.625,1.625,12,56,524,51,2904,5.0,8.0,8.0,4.0,2.0,5.0,7.0,7.0,5.75,0.2651650429449553,5.0,14.0,5.0,7.0,6.0,5.0
KATHI,0.1815277777777778,13,0.8421052631578947,0.8421052631578947,48,0.3384439899069361,1.1875,1.1875,21,137,2007,118,10450,1.0,1.0,2.0,3.0,5.0,2.0,3.0,3.0,2.5,0.16366341767699427,2.0,7.0,2.0,2.0,2.0,2.0
ZWEITER KNECHT,0.002361111111111111,6,0.5714285714285714,0.5714285714285714,10,0.04745569243512358,1.75,1.75,2,1,3,1,19,11.0,11.0,11.0,10.0,12.0,12.0,15.0,17.0,12.375,0.2983399008322075,13.0,16.0,11.0,16.0,13.5,14.0
STIFLER,0.04888888888888888,10,0.7272727272727273,0.7272727272727273,56,0.44704389276340856,1.375,1.375,16,79,758,70,4147,4.0,3.0,5.0,1.0,1.0,3.0,5.0,6.0,3.5,0.23145502494313785,3.0,11.0,3.0,4.0,3.5,4.0
KRAUTKOPF,0.06972222222222221,11,0.6956521739130435,0.6956521739130435,44,0.3192430469311885,1.4375,1.4375,15,140,2045,110,10807,3.0,4.0,4.0,5.0,6.0,4.0,2.0,2.0,3.75,0.1735912687073534,4.0,8.0,4.0,2.0,3.0,3.0
VIERTER KNECHT,0.0,5,0.5333333333333333,0.5333333333333333,5,0.02001413176795023,1.875,1.875,1,1,4,1,28,14.0,14.0,14.0,15.0,15.0,15.0,15.0,16.0,14.75,0.08838834764831845,15.0,2.0,15.0,17.0,16.0,17.0
ANTON,0.23333333333333334,7,0.64,0.64,9,0.04920760942576827,1.5625,1.5625,5,23,310,19,1694,8.0,6.0,1.0,13.0,11.0,10.0,9.0,9.0,8.375,0.45285552331841994,9.0,17.0,8.0,10.0,9.0,9.0
LIPS,0.1676388888888889,13,0.8421052631578947,0.8421052631578947,50,0.3718061432513134,1.1875,1.1875,24,212,5374,251,29474,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.625,0.11451567266411304,1.0,3.0,1.0,1.0,1.0,1.0
