,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,8,15,21,11,8,19,25,26,20.15,0.75,0.0034848,8.7,0.049049999999999996,0.75,8.9595,268.488
9,7,9,4,8,8,4,2,2,10.850000000000001,0.55,0.01057,20.299999999999997,0.11455000000000001,1.75,45.25,1356.0
8,7,5,4,4,4,4,2,2,23.25,0.95,0.0669,37.7,0.245,2.75,63.35,1898.4
7,5,2,2,4,4,4,1,1,29.45,0.6499999999999999,0.0176,55.1,0.3105,4.75,81.45,2440.8
6,4,1,1,2,3,1,1,1,7.75,0.0495,0.02465,26.1,0.08175,0.2475,117.65,4068.0
5,1,1,1,2,3,1,1,1,1.5345,0.8500000000000001,0.03875,31.9,0.14700000000000002,3.75,135.75,5152.8
4,1,0,0,1,1,0,1,0,26.35,0.15000000000000002,0.0317,2.871,0.0161865,1.25,171.95,813.5999999999999
3,0,0,0,1,1,0,0,0,4.65,0.25,0.045799999999999993,49.3,0.1795,2.25,27.150000000000002,2983.2
2,0,0,0,0,1,0,0,0,13.95,0.35,0.052849999999999994,14.5,0.27749999999999997,3.25,99.55,3525.6000000000004
1,0,0,0,0,0,0,0,0,17.05,0.45,0.059899999999999995,43.5,0.21250000000000002,4.25,153.85000000000002,4610.4
