,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,11,12,23,10,8,16,16,14,6.65,0.493,0.0157905,8.0,0.0727,1.5445,5.841,108.405
9,6,5,2,5,7,4,4,3,4.75,0.41700000000000004,0.07974999999999999,4.800000000000001,0.12095,2.6500000000000004,53.1,328.5
8,3,5,2,4,5,2,3,2,10.45,0.569,0.14350000000000002,1.584,0.0240075,4.85,41.3,766.5
7,2,2,1,3,2,2,2,2,0.9405,0.34099999999999997,0.303,14.4,0.218,10.350000000000001,17.700000000000003,985.5
6,2,2,0,2,1,1,1,2,2.8499999999999996,0.645,0.04785,24.0,0.16949999999999998,5.95,29.5,1423.5
5,2,1,0,1,1,1,1,2,12.350000000000001,0.0375705,0.11185,11.2,0.26649999999999996,7.05,76.69999999999999,2080.5
4,1,1,0,1,1,1,1,1,14.25,0.7210000000000001,0.175,17.6,0.315,9.25,112.1,547.5
3,1,0,0,1,1,1,0,1,18.05,0.11395,0.20700000000000002,20.799999999999997,0.36350000000000005,11.45,64.9,1642.5
2,0,0,0,1,1,0,0,1,8.55,0.19,0.239,30.4,0.41200000000000003,3.75,88.5,1861.5
1,0,0,0,0,1,0,0,0,16.15,0.2655,0.271,27.200000000000003,0.4605,8.149999999999999,100.30000000000001,1204.5
