,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,4,4,4,2,2,2,1,1,2.9997,0.9999,-0.0001,5.85,0.5605,2.9,8.751999999999999,261.16700000000003
9,0,0,0,1,1,1,1,1,2.9973,0.9991,-0.0009,3.1485,0.3245,1.099,37.599999999999994,1969.7
8,0,0,0,1,1,1,1,1,2.9979,0.9993,-0.0007,4.949999999999999,0.482,1.9,66.4,2396.3
7,0,0,0,0,0,0,1,1,2.9985,0.9995,-0.0005,3.45,0.351,1.2999999999999998,95.2,4102.7
6,0,0,0,0,0,0,0,0,2.9991000000000003,0.9997,-0.00030000000000000003,3.75,0.377,1.5,18.4,689.9000000000001
5,0,0,0,0,0,0,0,0,3.0003,1.0001,0.0001,4.05,0.403,1.7000000000000002,28.0,1116.5
4,0,0,0,0,0,0,0,0,3.0008999999999997,1.0003,0.00030000000000000003,4.35,0.4295,2.1,47.2,1543.1
3,0,0,0,0,0,0,0,0,3.0015,1.0005,0.0005,4.65,0.45599999999999996,2.3,56.8,2822.8999999999996
2,0,0,0,0,0,0,0,0,3.0021,1.0007,0.0007,5.25,0.508,2.5,76.0,3249.5
1,0,0,0,0,0,0,0,0,3.0027,1.0009,0.0009,5.550000000000001,0.534,2.7,85.6,3676.1000000000004
