name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
LEUTE VERSCHIEDENEN STANDES,0.0,26,0.4139655172413793,0.4224137931034483,26,0.11579249185642453,2.4156601416076633,2.36734693877551,1,3,21,3,104,23.0,40.0,42.0,23.0,17.0,42.0,85.0,133.0,50.625,4.929384152711168,41.0,69.0,20.0,115.0,67.5,46.0
AUSRUFER BEI EINEM GUCKKASTEN,0.0,18,0.3888259109311741,0.3967611336032389,18,0.06372730178322679,2.571845064556435,2.520408163265306,1,12,270,8,1498,62.0,62.0,42.0,64.0,54.0,42.0,36.0,31.0,49.125,1.6221644216029045,35.0,11.0,61.0,37.0,49.0,30.0
EINE ORDONNANZ,0.0,11,0.3758904109589041,0.3835616438356164,11,0.022481381567089332,2.6603498542274053,2.607142857142857,1,3,13,3,88,121.0,81.0,42.0,125.0,104.0,42.0,85.0,152.0,94.0,4.9126294966574235,118.0,68.0,94.0,130.0,112.0,119.0
HERZOGIN VON ANGOULEME,0.009832495812395307,11,0.2919148936170213,0.2978723404255319,16,0.007047636519918235,3.425655976676385,3.357142857142857,3,56,1519,35,8360,121.0,178.0,32.0,90.0,130.0,8.0,7.0,5.0,71.375,8.416060724887862,79.0,189.0,138.0,5.0,71.5,51.0
EIN OFFIZIER DER SUITE,0.0,17,0.3686756238003839,0.3761996161228407,17,0.03186899642608134,2.712411495210329,2.6581632653061225,1,1,14,1,73,76.0,90.0,42.0,78.0,77.0,42.0,142.0,151.0,87.25,5.062444885061537,104.0,71.0,76.0,160.0,118.0,132.0
PREUSSISCHE REITEREI,0.0,9,0.38186878727634194,0.38966202783300197,9,0.019273333786271694,2.6187005414410662,2.566326530612245,1,0,0,0,0,154.0,76.0,42.0,154.0,108.0,42.0,197.0,197.0,121.25,7.962734073706809,186.0,176.0,132.0,197.0,164.5,188.0
HERR VON VILLENEUVE,0.0,18,0.3888259109311741,0.3967611336032389,18,0.06372730178322679,2.571845064556435,2.520408163265306,1,10,324,5,1863,62.0,62.0,42.0,64.0,54.0,42.0,44.0,26.0,49.5,1.6623455889624328,37.0,12.0,61.0,40.0,50.5,32.0
EINER AUS DEM GEFOLGE DES HERZOGS,0.0,18,0.3888259109311741,0.3967611336032389,18,0.06372730178322679,2.571845064556435,2.520408163265306,1,1,10,1,47,62.0,62.0,42.0,64.0,54.0,42.0,142.0,162.0,78.75,5.7909065105806805,86.0,94.0,61.0,166.0,113.5,120.0
HERZOG VON ORLEANS,0.0,18,0.3888259109311741,0.3967611336032389,18,0.06372730178322679,2.571845064556435,2.520408163265306,1,3,37,4,184,62.0,62.0,42.0,64.0,54.0,42.0,85.0,101.0,64.0,2.5381024970860193,62.0,24.0,61.0,99.0,80.0,59.0
OFFIZIER (3. Akt),0.0,11,0.3758904109589041,0.3835616438356164,11,0.022481381567089332,2.6603498542274053,2.607142857142857,1,2,9,2,47,121.0,81.0,42.0,125.0,104.0,42.0,112.0,166.0,99.125,5.316936173009522,128.0,81.0,94.0,154.0,124.0,140.0
DER BÜRGER,0.0,0,0.0,0.0,0,0.0,inf,inf,0,0,0,0,0,202.0,202.0,42.0,202.0,202.0,202.0,197.0,197.0,180.75,7.013618767390035,202.0,146.0,202.0,202.0,202.0,202.0
EINER AUS DER MASSE,0.0,26,0.4139655172413793,0.4224137931034483,26,0.11579249185642453,2.4156601416076633,2.36734693877551,1,1,3,1,12,23.0,40.0,42.0,23.0,17.0,42.0,142.0,185.0,64.25,7.883003302766565,64.0,173.0,20.0,185.0,102.5,98.0
ALLE ANWESENDEN,0.0,5,0.3524403669724771,0.3596330275229358,5,0.01677222685400254,2.837359433569346,2.780612244897959,1,1,4,1,19,192.0,112.0,42.0,192.0,115.0,42.0,142.0,181.0,127.25,7.677875799054989,193.0,167.0,166.0,181.0,173.5,197.0
MADAME DE SERRÉ,0.0,10,0.3228235294117647,0.32941176470588235,10,0.009998141248724706,3.097667638483965,3.0357142857142856,1,13,227,8,1225,144.0,155.0,42.0,147.0,122.0,42.0,33.0,36.0,90.125,7.037348545693288,108.0,148.0,151.0,39.0,95.0,87.0
ZEITUNGSAUSRUFER,0.0,18,0.3888259109311741,0.3967611336032389,18,0.06372730178322679,2.571845064556435,2.520408163265306,1,3,37,2,220,62.0,62.0,42.0,64.0,54.0,42.0,85.0,101.0,64.0,2.5381024970860193,62.0,24.0,61.0,99.0,80.0,59.0
