,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,67,75,184,78,114,160,179,188,11.100000000000001,0.36950000000000005,0.009553500000000001,12.600000000000001,0.014751,1.0499999999999998,9.107999999999999,283.73400000000004
9,50,66,6,51,37,24,13,7,18.5,0.3125,0.028950000000000004,21.0,0.10414999999999999,1.75,27.599999999999998,1433.0
8,38,46,4,35,23,10,3,4,25.9,0.4265,0.08695,4.158,0.044649999999999995,3.15,46.0,859.8000000000001
7,29,5,2,20,13,3,3,1,3.6630000000000003,0.028116000000000002,0.0676,29.4,0.0744,3.85,64.4,2006.2
6,6,5,2,8,8,2,2,1,40.7,0.483,0.14500000000000002,37.8,0.134,5.25,138.0,2579.4
5,5,4,2,4,2,1,1,1,33.3,0.5395,0.1835,54.599999999999994,0.16399999999999998,0.3465,82.8,5445.4
4,3,1,1,3,2,1,1,0,48.099999999999994,0.1985,0.04825,79.8,0.1935,5.949999999999999,174.8,3152.6
3,2,0,1,2,2,1,0,0,70.3,0.0854,0.1063,46.2,0.28300000000000003,6.65,101.2,3725.8
2,1,0,0,1,1,0,0,0,55.5,0.14200000000000002,0.1255,71.4,0.22299999999999998,2.45,119.60000000000001,4299.0
1,1,0,0,0,0,0,0,0,62.9,0.2555,0.16449999999999998,63.0,0.253,4.550000000000001,156.39999999999998,4872.200000000001
