ZIETHEN;LOBAU;1
ZIETHEN;NAPOLEON;1
ZIETHEN;EINE MASSE FRANZÖSISCHER REITTENDER ARTILLERIE;1
ZIETHEN;BÜLOW;1
ZIETHEN;EINE MASSE FRANZÖSISCHER INFANTERIE;1
ZIETHEN;EIN FRANZÖSISCHER INFANTERIEOFFIZIER;1
ZIETHEN;EINE MASSE FRANZÖSISCHER REITER;1
MARQUIS VON HAUTERIVE;AUSRUFER EINER MENAGERIE;1
MARQUIS VON HAUTERIVE;DIE STUHLVERMIETERIN;1
MARQUIS VON HAUTERIVE;HERR VON VILLENEUVE;1
MARQUIS VON HAUTERIVE;AUSRUFER BEI EINEM GUCKKASTEN;1
MARQUIS VON HAUTERIVE;EINER AUS DEM GEFOLGE DES HERZOGS;1
MARQUIS VON HAUTERIVE;EIN POLIZEIBEAMTER;1
MARQUIS VON HAUTERIVE;VITRY;1
MARQUIS VON HAUTERIVE;ADVOKAT DUCHESNE;1
MARQUIS VON HAUTERIVE;CHASSECOEUR;1
MARQUIS VON HAUTERIVE;AUSRUFER EINER BILDERGALERIE;1
MARQUIS VON HAUTERIVE;EINE ALTE PUTZHÄNDLERIN;1
MARQUIS VON HAUTERIVE;SAVOYARDENKNABE;1
MARQUIS VON HAUTERIVE;HERZOG VON BERRY;1
MARQUIS VON HAUTERIVE;EIN ALTER OFFIZIER IN ZIVILTRACHT;1
MARQUIS VON HAUTERIVE;EIN GENSD'ARMES (1. AKT);1
MARQUIS VON HAUTERIVE;ZEITUNGSAUSRUFER;1
MARQUIS VON HAUTERIVE;HERZOG VON ORLEANS;1
MARQUIS VON HAUTERIVE;VOLK (1. AKT);1
JAMES;DER ADJUTANT;1
JAMES;EIN ALTER HANNOVERISCHER SCHARFSCHUTZ;1
JAMES;EIN ENGLISCHER LINIENSOLDAT;1
JAMES;EIN SERGEANT DER ENGLISCHEN JÄGER;1
JAMES;SERGEANT;1
JAMES;EIN ENGLISCHER OBRIST;1
JAMES;EIN HAUPTMANN DER HANNOVERISCHEN SCHARFSCHÜTZEN;1
JAMES;FRITZ;1
JAMES;EIN ANDERER FRANZÖSISCHER HAUPTMANN;1
JAMES;FRANZÖSISCHE ADJUTANTEN;1
JAMES;EIN FRANZÖSISCHER HAUPTMANN;1
JAMES;DER AM HOHLWEG KOMMANDIERENDE ENGLISCHE GENERAL;1
JAMES;EIN ENGLISCHER JÄGER;1
JAMES;EIN FRANZÖSISCHER SOLDAT;1
JAMES;DER ALTE HANNOVERSCHE SCHARFSCHÜTZ;1
JAMES;DER SCHÜTZENHAUPTMANN;1
KÖNIG LUDWIG;OBERDIREKTOR DES TELEGRAPHEN;1
