,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,3,3,6,4,4,4,4,4,2.3465000000000003,0.5205,0.009603,3.7325,0.04645,2.1879999999999997,67.25,498.15700000000004
9,3,3,2,2,3,2,2,4,5.15,0.6845,0.1845,17.75,0.356,7.0,15.721499999999999,1758.5
8,2,2,1,2,1,2,2,1,8.65,0.8885000000000001,0.02915,21.25,0.15,9.399999999999999,41.55,2387.1000000000004
7,1,1,1,1,1,1,1,1,3.75,0.6435,0.0486,7.25,0.3045,4.6,92.94999999999999,4901.5
6,1,1,1,1,1,1,1,1,7.25,0.7655000000000001,0.14600000000000002,28.25,0.4595,16.6,195.75,6158.7
5,1,1,0,1,1,1,1,0,7.95,0.8474999999999999,0.06805,35.25,0.511,23.8,247.15,1129.9
4,0,0,0,0,0,0,0,0,3.05,0.5615,0.0875,10.75,0.09825,11.8,118.65,3015.7
3,0,0,0,0,0,0,0,0,4.449999999999999,0.6025,0.1071,14.25,0.2015,14.2,144.35,3644.3
2,0,0,0,0,0,0,0,0,5.85,0.725,0.1265,24.75,0.253,19.0,170.05,4272.9
1,0,0,0,0,0,0,0,0,6.550000000000001,0.8065,0.16549999999999998,31.75,0.40800000000000003,21.4,221.45,5530.1
