name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
SIVERS,0.05818181818181818,9,0.8461538461538461,0.8461538461538461,38,0.3499000970395699,1.1818181818181819,1.1818181818181819,13,100,2311,61,13066,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.75,0.057863756235784464,4.0,2.0,4.0,4.0,4.0,4.0
GERICHTSDIENER,0.0,4,0.6111111111111112,0.6111111111111112,4,0.04086490384731791,1.6363636363636362,1.6363636363636362,1,4,32,4,191,10.0,10.0,8.0,10.0,10.0,9.0,10.0,11.0,9.75,0.11080065755348979,11.0,9.0,10.0,11.0,10.5,10.0
DIENSTMÄDCHEN,0.0,5,0.6470588235294118,0.6470588235294118,5,0.04626728778066369,1.5454545454545454,1.5454545454545454,1,1,17,1,86,7.0,7.0,8.0,9.0,9.0,9.0,12.0,12.0,9.125,0.24492619150616435,9.0,12.0,9.0,12.0,10.5,10.0
MAD. WAGNER,0.2648484848484848,11,1.0,1.0,63,0.5245233206133528,1.0,1.0,28,165,3026,102,16945,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.5,0.0668153104781061,1.0,3.0,1.0,2.0,1.5,1.0
KAUFMANNSDIENER,0.0,1,0.5238095238095238,0.5238095238095238,1,0.012101213509668736,1.909090909090909,1.909090909090909,1,4,60,2,349,12.0,12.0,8.0,12.0,12.0,9.0,10.0,10.0,10.625,0.1997487260821169,12.0,11.0,12.0,10.0,11.0,12.0
SOPHIE,0.08303030303030302,10,0.9166666666666666,0.9166666666666666,40,0.3461412077567225,1.090909090909091,1.090909090909091,17,116,1224,93,6796,2.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,2.875,0.10431537004953502,3.0,8.0,3.0,3.0,3.0,3.0
WAGNER,0.08303030303030302,10,0.9166666666666666,0.9166666666666666,69,0.5507030407253558,1.090909090909091,1.090909090909091,34,208,2858,157,15365,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.5,0.0668153104781061,1.0,3.0,2.0,1.0,1.5,1.0
MALLDORF,0.0036363636363636364,5,0.6470588235294118,0.6470588235294118,10,0.09398611847797414,1.5454545454545454,1.5454545454545454,7,45,655,33,3624,7.0,7.0,7.0,8.0,8.0,7.0,6.0,7.0,7.125,0.08010874305770696,8.0,6.0,8.0,6.0,7.0,7.0
FRITZ,0.008181818181818182,6,0.6875,0.6875,23,0.23416400320857986,1.4545454545454546,1.4545454545454546,10,17,208,16,1099,5.0,5.0,5.0,6.0,6.0,6.0,8.0,8.0,6.125,0.15580293184477811,6.0,10.0,6.0,8.0,7.0,7.0
CHARLOTTE,0.008181818181818182,6,0.6875,0.6875,30,0.26410505392861733,1.4545454545454546,1.4545454545454546,12,68,776,60,4257,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,1.0,5.0,5.0,5.0,5.0
WILHELM,0.0,5,0.6470588235294118,0.6470588235294118,21,0.20078097782722845,1.5454545454545454,1.5454545454545454,7,37,692,23,3777,7.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,0.0668153104781061,7.0,3.0,7.0,6.0,6.5,6.0
STEINBURG,0.0,4,0.6111111111111112,0.6111111111111112,4,0.04086490384731791,1.6363636363636362,1.6363636363636362,1,5,200,3,1116,10.0,10.0,8.0,10.0,10.0,9.0,9.0,9.0,9.375,0.09300297614285562,10.0,7.0,10.0,9.0,9.5,9.0
