name,betweenness,degree,closeness,closeness_corrected,strength,eigenvector_centrality,avg_distance,avg_distance_corrected,frequency,speech_acts,words,lines,chars,degree_rank,closeness_rank,betweenness_rank,strength_rank,eigenvector_centrality_rank,frequency_rank,speech_acts_rank,words_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank,avg_graph_rank,avg_content_rank,overall_avg,overall_avg_rank
CHOR,0.0,13,0.5431034482758621,0.5431034482758621,13,0.01727718583548248,1.8412698412698412,1.8412698412698412,1,5,59,4,404,50.0,50.0,16.0,50.0,54.0,17.0,30.0,37.0,38.0,1.9353386562267894,56.0,46.0,50.0,34.0,42.0,47.0
EIN FÜNFTER VOM VOLK,0.007215007215007213,34,0.6847826086956522,0.6847826086956522,43,0.20259699542531948,1.4603174603174602,1.4603174603174602,2,1,12,1,69,7.0,7.0,9.0,6.0,6.0,6.0,49.0,55.0,18.125,2.624096358068539,21.0,59.0,6.0,51.0,28.5,28.0
DIE AUFRECHTE ZIGEUNERIN,0.0,25,0.6237623762376238,0.6237623762376238,25,0.1221549893389053,1.6031746031746033,1.6031746031746033,1,4,130,2,704,15.0,15.0,16.0,16.0,14.0,17.0,33.0,30.0,19.5,0.9377975718214916,22.0,19.0,14.0,31.0,22.5,20.0
INDRIK,0.007215007215007213,34,0.6847826086956522,0.6847826086956522,43,0.20259699542531948,1.4603174603174602,1.4603174603174602,2,11,165,8,935,7.0,7.0,9.0,6.0,6.0,6.0,16.0,23.0,10.0,0.7791937224739796,8.0,16.0,6.0,14.0,10.0,8.0
ARON,0.0,18,0.5833333333333334,0.5833333333333334,18,0.08596458992502683,1.7142857142857142,1.7142857142857142,1,2,66,2,383,30.0,30.0,16.0,30.0,28.0,17.0,40.0,36.0,28.375,1.0392680717697431,34.0,20.0,30.0,40.0,35.0,35.0
JUNGER BRUDER,0.0,13,0.5431034482758621,0.5431034482758621,13,0.01727718583548248,1.8412698412698412,1.8412698412698412,1,10,321,4,1728,50.0,50.0,16.0,50.0,54.0,17.0,20.0,14.0,33.875,2.303372430496516,49.0,56.0,50.0,19.0,34.5,34.0
EIN ALTER,0.0,18,0.5833333333333334,0.5833333333333334,18,0.08596458992502683,1.7142857142857142,1.7142857142857142,1,1,18,1,100,30.0,30.0,16.0,30.0,28.0,17.0,49.0,51.0,31.375,1.6062621594870496,40.0,36.0,30.0,54.0,42.0,47.0
EINER DER HÖFLINGE,0.03464755077658305,29,0.6494845360824743,0.6494845360824743,31,0.07401415913908181,1.5396825396825395,1.5396825396825395,2,11,558,3,3097,13.0,13.0,5.0,13.0,36.0,6.0,16.0,11.0,14.125,1.199772113778279,12.0,26.0,27.0,10.0,18.5,15.0
DER EINE DIENER,0.0,18,0.5833333333333334,0.5833333333333334,18,0.058754565388385215,1.7142857142857142,1.7142857142857142,1,1,14,1,77,30.0,30.0,16.0,30.0,38.0,17.0,49.0,54.0,33.0,1.6995272451899255,46.0,39.0,38.0,57.0,47.5,57.0
DER MANN AUF DER ERDE,0.0,25,0.6237623762376238,0.6237623762376238,25,0.1221549893389053,1.6031746031746033,1.6031746031746033,1,1,73,0,372,15.0,15.0,16.0,16.0,14.0,17.0,49.0,34.0,22.0,1.5895866488762775,26.0,35.0,14.0,44.0,29.0,29.0
EIN DRITTER JUNGER HÖFLING,0.0,18,0.5833333333333334,0.5833333333333334,18,0.058754565388385215,1.7142857142857142,1.7142857142857142,1,1,16,1,84,30.0,30.0,16.0,30.0,38.0,17.0,49.0,53.0,32.875,1.6723025988566953,45.0,38.0,38.0,56.0,47.0,56.0
PANKRAZ,0.0,7,0.4846153846153846,0.4846153846153846,7,0.03499392454168041,2.0634920634920637,2.0634920634920637,1,14,151,11,824,61.0,62.0,16.0,61.0,50.0,17.0,11.0,26.0,38.0,2.8252686345094435,56.0,63.0,61.0,20.0,40.5,43.0
EIN GREIS,0.0,18,0.5833333333333334,0.5833333333333334,18,0.08596458992502683,1.7142857142857142,1.7142857142857142,1,1,22,0,115,30.0,30.0,16.0,30.0,28.0,17.0,49.0,48.0,31.0,1.5280122475201003,38.0,34.0,30.0,52.0,41.0,44.0
KÄMMERER,0.0,18,0.5833333333333334,0.5833333333333334,18,0.058754565388385215,1.7142857142857142,1.7142857142857142,1,6,120,3,670,30.0,30.0,16.0,30.0,38.0,17.0,28.0,32.0,27.625,0.9352651934841033,33.0,18.0,38.0,30.0,34.0,32.0
EIN ZWEITER HÖFLINGE,0.0,13,0.5431034482758621,0.5431034482758621,13,0.01727718583548248,1.8412698412698412,1.8412698412698412,1,4,242,1,1353,50.0,50.0,16.0,50.0,54.0,17.0,33.0,18.0,36.0,2.116052591839005,53.0,52.0,50.0,28.0,39.0,42.0
EIN ALTER MIT EINEM STELZBEIN,0.0,18,0.5833333333333334,0.5833333333333334,18,0.08596458992502683,1.7142857142857142,1.7142857142857142,1,2,28,2,148,30.0,30.0,16.0,30.0,28.0,17.0,40.0,46.0,29.625,1.2711382343058861,37.0,27.0,30.0,46.0,38.0,40.0
EINER VOM VOLK,0.007215007215007213,34,0.6847826086956522,0.6847826086956522,43,0.20259699542531948,1.4603174603174602,1.4603174603174602,2,3,21,3,96,7.0,7.0,9.0,6.0,6.0,6.0,36.0,49.0,15.75,2.112621509607706,15.0,51.0,6.0,38.0,22.0,19.0
ALLE,0.0,18,0.5833333333333334,0.5833333333333334,18,0.058754565388385215,1.7142857142857142,1.7142857142857142,1,2,19,2,95,30.0,30.0,16.0,30.0,38.0,17.0,40.0,50.0,31.375,1.428250521992353,40.0,33.0,38.0,49.0,43.5,50.0
EIN DRITTER HÖFLING,0.0,13,0.5431034482758621,0.5431034482758621,13,0.01727718583548248,1.8412698412698412,1.8412698412698412,1,2,164,0,964,50.0,50.0,16.0,50.0,54.0,17.0,40.0,24.0,37.625,2.0110603768374817,55.0,50.0,50.0,32.0,41.0,44.0
EIN ANDERER VOM VOLK,0.007215007215007213,34,0.6847826086956522,0.6847826086956522,43,0.20259699542531948,1.4603174603174602,1.4603174603174602,2,12,166,7,878,7.0,7.0,9.0,6.0,6.0,6.0,13.0,22.0,9.5,0.6975723208794503,7.0,14.0,6.0,13.0,9.5,7.0
HÖFLINGE,0.0,13,0.5431034482758621,0.5431034482758621,13,0.01727718583548248,1.8412698412698412,1.8412698412698412,1,0,0,0,0,50.0,50.0,16.0,50.0,54.0,17.0,62.0,62.0,45.125,2.2946341717456527,64.0,55.0,50.0,62.0,56.0,64.0
SIGISMUND,0.08960961380316214,52,0.8513513513513513,0.8513513513513513,71,0.29498190370394983,1.1746031746031746,1.1746031746031746,5,236,6128,88,33148,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.125,0.10431537004953502,2.0,3.0,3.0,1.0,2.0,2.0
OLIVIER,0.019734208443885865,37,0.7078651685393258,0.7078651685393258,50,0.23054467843057627,1.4126984126984128,1.4126984126984128,3,75,2061,30,11757,6.0,6.0,8.0,5.0,4.0,5.0,6.0,6.0,5.75,0.1456205931276794,5.0,5.0,5.0,6.0,5.5,5.0
BÄUERIN,0.0,3,0.5121951219512195,0.5121951219512195,3,0.02527756857911515,1.9523809523809523,1.9523809523809523,1,19,449,8,2449,64.0,61.0,16.0,64.0,53.0,17.0,9.0,12.0,37.0,3.183383195819908,54.0,64.0,64.0,11.0,37.5,38.0
ZWEI ANDERE HÖFLINGE,0.0,13,0.5431034482758621,0.5431034482758621,13,0.01727718583548248,1.8412698412698412,1.8412698412698412,1,2,28,0,206,50.0,50.0,16.0,50.0,54.0,17.0,40.0,46.0,40.375,1.9108915972468379,62.0,44.0,50.0,46.0,48.0,58.0
DER ZWEITE KNABE,0.0,25,0.6237623762376238,0.6237623762376238,25,0.1221549893389053,1.6031746031746033,1.6031746031746033,1,10,145,5,855,15.0,15.0,16.0,16.0,14.0,17.0,20.0,27.0,17.5,0.5303300858899106,19.0,11.0,14.0,25.0,19.5,17.0
DER ERSTE KNABE,0.0,25,0.6237623762376238,0.6237623762376238,25,0.1221549893389053,1.6031746031746033,1.6031746031746033,1,10,145,10,710,15.0,15.0,16.0,16.0,14.0,17.0,20.0,27.0,17.5,0.5303300858899106,19.0,11.0,14.0,25.0,19.5,17.0
STALLMEISTER,0.0,18,0.5833333333333334,0.5833333333333334,18,0.058754565388385215,1.7142857142857142,1.7142857142857142,1,2,133,0,670,30.0,30.0,16.0,30.0,38.0,17.0,40.0,29.0,28.75,1.0747715704145828,35.0,22.0,38.0,36.0,37.0,37.0
PFÖRTNER,0.0,13,0.5431034482758621,0.5431034482758621,13,0.01727718583548248,1.8412698412698412,1.8412698412698412,1,6,227,2,1276,50.0,50.0,16.0,50.0,54.0,17.0,28.0,19.0,35.5,2.125525145195216,51.0,53.0,50.0,25.0,37.5,38.0
EIN ANDERER DER BANNERHERREN,0.0,25,0.6237623762376238,0.6237623762376238,25,0.1221549893389053,1.6031746031746033,1.6031746031746033,1,8,224,0,1296,15.0,15.0,16.0,16.0,14.0,17.0,25.0,20.0,17.25,0.45193038338727726,18.0,10.0,14.0,23.0,18.5,15.0
ANDREAS,0.0,7,0.4846153846153846,0.4846153846153846,7,0.03499392454168041,2.0634920634920637,2.0634920634920637,1,11,163,8,903,61.0,62.0,16.0,61.0,50.0,17.0,16.0,25.0,38.5,2.73616650495856,58.0,62.0,61.0,22.0,41.5,46.0
ARZT,0.05228552809197971,43,0.7590361445783133,0.7590361445783133,53,0.2241768153953418,1.3174603174603174,1.3174603174603174,4,132,2700,79,15175,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.25,0.057863756235784464,4.0,1.0,4.0,4.0,4.0,4.0
EINES PAGEN STIMME,0.0,18,0.5833333333333334,0.5833333333333334,18,0.058754565388385215,1.7142857142857142,1.7142857142857142,1,2,8,2,30,30.0,30.0,16.0,30.0,38.0,17.0,40.0,57.0,32.25,1.6485247734175632,43.0,37.0,38.0,52.0,45.0,53.0
REITERBUB,0.0,25,0.6237623762376238,0.6237623762376238,25,0.1221549893389053,1.6031746031746033,1.6031746031746033,1,4,69,0,377,15.0,15.0,16.0,16.0,14.0,17.0,33.0,35.0,20.125,1.07827056470734,23.0,23.0,14.0,35.0,24.5,21.0
DER STELZBEINIGE,0.0071312200344458435,22,0.6057692307692307,0.6057692307692307,25,0.11774880124063879,1.650793650793651,1.650793650793651,2,3,53,2,305,29.0,29.0,15.0,16.0,27.0,6.0,36.0,39.0,24.625,1.4125355558103914,30.0,31.0,29.0,32.0,30.5,31.0
EINER DER HERREN,0.0,25,0.6237623762376238,0.6237623762376238,25,0.1221549893389053,1.6031746031746033,1.6031746031746033,1,3,40,3,205,15.0,15.0,16.0,16.0,14.0,17.0,36.0,43.0,21.5,1.4126343172547218,25.0,32.0,14.0,42.0,28.0,27.0
JERONIM,0.0,18,0.5833333333333334,0.5833333333333334,18,0.08596458992502683,1.7142857142857142,1.7142857142857142,1,10,257,4,1390,30.0,30.0,16.0,30.0,28.0,17.0,20.0,17.0,23.5,0.8183170883849714,27.0,17.0,30.0,20.0,25.0,22.0
EIN ANDERER HERR,0.0,25,0.6237623762376238,0.6237623762376238,25,0.1221549893389053,1.6031746031746033,1.6031746031746033,1,1,18,0,114,15.0,15.0,16.0,16.0,14.0,17.0,49.0,51.0,24.125,2.0004882216599027,29.0,49.0,14.0,54.0,34.0,32.0
