,degree,closeness,betweenness,strength,eigenvector_centrality,frequency,speech_acts,words,degree_interval,closeness_interval,betweenness_interval,strength_interval,eigenvector_centrality_interval,frequency_interval,speech_acts_interval,words_interval
10,8,8,8,2,1,2,1,2,6.999499999999999,0.9999,-0.0001,60.7,0.20600000000000002,18.0,39.504000000000005,789.894
9,0,0,0,2,1,1,1,2,6.9935,0.9991,-0.0009,71.5,0.262,7.99,58.800000000000004,5663.4
8,0,0,0,1,1,1,1,1,6.995,0.9993,-0.0007,33.673,0.29000000000000004,12.0,97.19999999999999,1333.8000000000002
7,0,0,0,1,1,1,1,1,6.9965,0.9995,-0.0005,44.5,0.346,14.0,116.4,2416.2
6,0,0,0,1,1,1,1,1,6.997999999999999,0.9997,-0.00030000000000000003,49.900000000000006,0.374,22.0,135.6,2957.4
5,0,0,0,1,1,1,1,1,7.000500000000001,1.0001,0.0001,82.3,0.402,24.0,154.8,3498.6
4,0,0,0,0,1,1,1,0,7.002000000000001,1.0003,0.00030000000000000003,39.099999999999994,0.43,26.0,193.2,1875.0
3,0,0,0,0,1,0,1,0,7.0035,1.0005,0.0005,55.3,0.45799999999999996,10.0,212.4,4039.7999999999997
2,0,0,0,0,0,0,0,0,7.005,1.0007,0.0007,66.1,0.23399999999999999,16.0,78.0,4581.0
1,0,0,0,0,0,0,0,0,7.0065,1.0009,0.0009,76.9,0.318,20.0,174.0,5122.200000000001
